subjectid$id	week sample obtained$clinical	g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase$gene	g__3-hydroxybutyryl-coa dehydrogenase$gene	g__3-methyl-2-oxobutanoate hydroxymethyltransferase$gene	g__5-formyltetrahydrofolate cyclo-ligase$gene	g__acetyl-coa c-acetyltransferase$gene	g__aldose 1-epimerase$gene	g__aspartate ammonia-lyase$gene	g__beta-lactamase$gene	g__dephospho-coa kinase$gene	g__dihydrolipoyl dehydrogenase$gene	g__dna helicase$gene	g__dna-directed rna polymerase$gene	g__endopeptidase clp$gene	g__fructose-bisphosphate aldolase$gene	g__glucose-1-phosphate adenylyltransferase$gene	g__glutamate decarboxylase$gene	g__glutamate dehydrogenase$gene	g__histidine kinase$gene	g__l-serine ammonia-lyase$gene	g__methionyl aminopeptidase$gene	g__peptidylprolyl isomerase$gene	g__peroxiredoxin$gene	g__phosphatidate cytidylyltransferase$gene	g__phosphoglycerate kinase$gene	g__phosphopyruvate hydratase$gene	g__pyruvate carboxylase$gene	g__ribulose-phosphate 3-epimerase$gene	g__rna helicase$gene	g__shikimate kinase$gene	g__superoxide dismutase$gene	g__thymidylate synthase$gene	g__transaldolase$gene	g__triose-phosphate isomerase$gene	g__uridine kinase$gene	s__subdoligranulum_unclassified$taxa	s__bacteroides_eggerthii$taxa	s__odoribacter_splanchnicus$taxa	s__bacteroides_fragilis$taxa	s__ruminococcus_bromii$taxa	s__eubacterium_eligens$taxa	s__eubacterium_siraeum$taxa	s__roseburia_inulinivorans$taxa	s__bacteroides_massiliensis$taxa	s__parabacteroides_distasonis$taxa	s__peptostreptococcaceae_noname_unclassified$taxa	s__akkermansia_muciniphila$taxa	s__lachnospiraceae_bacterium_5_1_63faa$taxa	s__clostridium_hathewayi$taxa	s__lachnospiraceae_bacterium_1_1_57faa$taxa	s__streptococcus_thermophilus$taxa	s__anaerostipes_hadrus$taxa	s__roseburia_intestinalis$taxa	s__ruminococcus_torques$taxa	s__alistipes_shahii$taxa	s__bacteroides_cellulosilyticus$taxa	s__ruminococcus_gnavus$taxa	s__clostridium_symbiosum$taxa	s__ruminococcus_lactaris$taxa	s__bacteroides_dorei$taxa	s__eubacterium_hallii$taxa	s__veillonella_dispar$taxa	s__bacteroides_finegoldii$taxa	s__bacteroides_thetaiotaomicron$taxa	s__parabacteroides_merdae$taxa	s__coprococcus_catus$taxa	s__clostridiales_bacterium_1_7_47faa$taxa	s__anaerotruncus_colihominis$taxa	s__bacteroides_vulgatus$taxa	s__ruminococcus_obeum$taxa	s__bifidobacterium_longum$taxa	s__dorea_formicigenerans$taxa	s__clostridium_bolteae$taxa	s__streptococcus_parasanguinis$taxa	s__c2likevirus_unclassified$taxa	s__bacteroides_xylanisolvens$taxa	s__faecalibacterium_prausnitzii$taxa	s__bacteroides_uniformis$taxa	s__bacteroides_faecis$taxa	s__clostridium_citroniae$taxa	s__veillonella_unclassified$taxa	s__escherichia_coli$taxa	s__clostridium_clostridioforme$taxa	s__bacteroides_stercoris$taxa	s__parabacteroides_unclassified$taxa	s__alistipes_onderdonkii$taxa	s__eubacterium_rectale$taxa	s__oscillibacter_unclassified$taxa	s__eubacterium_ventriosum$taxa	s__prevotella_copri$taxa	s__bacteroides_caccae$taxa	s__bacteroides_ovatus$taxa	s__sutterella_wadsworthensis$taxa	s__haemophilus_parainfluenzae$taxa	s__alistipes_putredinis$taxa	s__clostridium_asparagiforme$taxa	s__barnesiella_intestinihominis$taxa	s__alistipes_finegoldii$taxa	s__dialister_invisus$taxa	s__klebsiella_pneumoniae$taxa
47	10	0.025332501	0	0.023912927	0.029084527	0.011522196	0.041174686	0.013573848	0.058935152	0.007289119	0.032677097	0.062485489	0.104704278	0.043069977	0.014109047	0.053105506	0.015906408	0.042999828	0.059643782	0.015273972	0.047079124	0.242548812	0.013892465	0.020564032	0.051541085	0.142578104	0.042125967	0.02039667	0.031494411	0.311337213	0.567343505	0.018844169	0.076685056	0.067997759	0.015759846	0.237938789	8.31E-07	0	0.026936246	0.015287097	0.009658152	0	0.004781738	0.001549182	0.210099168	9.84E-05	0	0.000326703	0.00032778	0.000772539	0.001314685	0.000334178	0.0028086	0.002941821	2.18E-05	0	0.001320795	0.001540783	0.001027153	0	0	0.001291175	0	2.32E-06	0.000675279	0	0.000113397	1.30E-05	0.000164743	0	0	0	0.004836311	0.002412721	0.005797794	0.005827554	0.108975398	0.114948915	0	3.85E-05	0	0.008317872	4.90E-05	0.003127022	0.1294182	0.000102694	0.013373927	0.001393196	0	0	3.35E-06	0.001158277	0.013469655	0.00395525	0	0	0	1.11E-05	0.002982866	0.000523566
47	11	0.023276211	0.011262689	0.022006715	0.026918346	0.017738507	0.038907275	0.0196828	0.052109889	0.008664249	0.032811856	0.063361468	0.131760526	0.041231805	0.021569421	0.049971704	0.034451409	0.037804405	0.061565649	0.021138068	0.05096725	0.276771888	0.018774152	0.022337417	0.057566114	0.134927326	0.035591674	0.021506789	0.029610289	0.271587814	0.264430321	0.017140685	0.07641987	0.07119699	0.014248851	0.201238224	1.06E-06	0	0.023441236	0.007882452	0.009688317	0	0.017175715	0.001608294	0.16134904	9.06E-05	0	0.000341029	0.000314884	0.00090825	0.001428387	0.000364375	0.009604968	0.003073716	2.27E-05	0	0.001387046	0.001398191	0.001004019	0	0	0.001245124	0	2.22E-06	0.000473266	0	0.000116531	1.60E-05	0.000178766	0	0	0	0.005045613	0.002675116	0.022596521	0.005870879	0.201087171	0.110663183	0	3.70E-05	0	0.005815503	4.79E-05	0.003278922	0.0934926	0.000106613	0.008253397	0.001119793	0	0	3.59E-06	0.001142827	0.027370083	0.00461998	0	0	0	1.15E-05	0.001616073	0.000549514
47	12	0.02087685	0.022408904	0.019775089	0.024274558	0.023746826	0.036392569	0.024835175	0.044465925	0.009900564	0.032075864	0.063205765	0.155369024	0.038852222	0.028664577	0.047637934	0.051417725	0.032786962	0.062041542	0.02628149	0.054041191	0.303162813	0.022784662	0.023583659	0.062306664	0.126407741	0.028706852	0.022243804	0.02705204	0.227529544	0.083719431	0.015192245	0.074636525	0.072973279	0.012550388	0.104132845	1.26E-06	0	0.052940095	0.008418573	0.009545767	0	0.033472503	0.001647613	0.089401441	8.40E-05	0	0.000356025	0.000303836	0.001027618	0.001516951	0.000392718	0.034862065	0.003186514	2.32E-05	0	0.001436839	0.001268226	0.000977934	0	0	0.001208305	0	2.33E-06	0.000226151	0	0.000119146	1.94E-05	0.000190458	0	0.001249667	0	0.005212178	0.002887158	0	0.005867414	0.361585496	0.074386801	0	3.55E-05	0.000126405	0.001555823	4.67E-05	0.003387017	0.046987067	0.000109221	0.048089193	0.000892964	0	0	3.81E-06	0.001122232	0.035223777	0.005957629	0	0	0	1.18E-05	0.00041033	0.000575774
47	13	0.018414422	0.032560884	0.017479932	0.021468579	0.029296882	0.034009384	0.028838902	0.036762543	0.01097662	0.030712906	0.062403103	0.174911803	0.036317575	0.035102737	0.04654489	0.066009366	0.028473013	0.061410692	0.030521173	0.056420089	0.321797436	0.025798569	0.0243621	0.065821228	0.118243789	0.022090815	0.022695749	0.024147249	0.18337493	0.01184511	0.013215593	0.071904875	0.073642761	0.010849164	0.029896216	1.31E-06	0	0.043292205	0.011129197	0.008495597	0	0.042017253	0.00152889	0.032576144	7.19E-05	0	0.000340564	0.000269658	0.001037822	0.001450224	0.000384406	0.054513907	0.003007351	2.16E-05	0	0.001348321	0.001052199	0.000869189	0	5.57E-05	0.001080552	0	2.43E-06	0	0	0.000111111	2.12E-05	0.000183298	0	0.006037991	0	0.004892206	0.002798431	0	0.005331954	0.469478202	0.03782401	0	3.11E-05	0.000922787	0	4.14E-05	0.003165519	0.013447209	0.00010135	0.143343572	0.000648453	0	0	3.68E-06	0.001004597	0.019574719	0.007072673	0	0	0	1.09E-05	0	0.000551943
47	14	0.016088292	0.041422402	0.015307934	0.018733808	0.034272536	0.032008281	0.031682693	0.029525209	0.011896599	0.028958622	0.061291581	0.1904141	0.033912828	0.040760772	0.046882541	0.077941076	0.025156718	0.060026327	0.033828325	0.058266025	0.333565756	0.027835697	0.024764915	0.068284871	0.111221501	0.016140197	0.022957299	0.021156743	0.142013847	0.018346029	0.011362691	0.068724334	0.07354488	0.009272439	0	1.54E-06	0	0.020700226	0.013867835	0.008616891	0	0.044776772	0.001617921	0.005479936	7.14E-05	0.001853495	0.000375385	0.000276716	0.001185021	0.001574584	0.000430596	0.062021761	0.003252842	2.28E-05	0	0.001443583	0.001002928	0.000886047	0	0.000135798	0.001119386	0	3.05E-06	0	0	0.000118903	2.65E-05	0.000200951	0	0.013667454	0	0.005252591	0.003076651	0.000762704	0.005541325	0.5020706	0.01820933	0	3.12E-05	0.002129944	0	4.21E-05	0.00337142	0	0.000107252	0.211153762	0.000542357	0	0	4.08E-06	0.001030587	0	0.009345252	0	0	0	1.16E-05	0	0.000608888
47	15	0.014024374	0.048946696	0.013377263	0.016224936	0.03867492	0.030537463	0.033480982	0.02306629	0.012685429	0.027019503	0.060156014	0.202378506	0.031831966	0.045657947	0.048683951	0.087320914	0.022957968	0.058221595	0.036288096	0.059769266	0.339864891	0.029013574	0.024901135	0.069947638	0.105782596	0.011060286	0.023123332	0.018268492	0.10513238	0.065306601	0.009727054	0.065504515	0.073013538	0.007896486	0	1.66E-06	0	0.004668925	0.0111535	0.008183826	0	0.029160638	0.001599713	0	6.73E-05	0.003745836	0.000390394	0.00026875	0.001258275	0.001593009	0.000452617	0.035666201	0.003304307	2.26E-05	0	0.001445285	0.00089806	0.000847704	0	0.000223018	0.001099545	0	3.69E-06	0	0	0.000119591	3.08E-05	0.000205861	0	0.022997046	0	0.005285942	0.003150213	0.349641428	0.005392057	0.28149503	0.006637078	0	2.94E-05	0.003504006	0.010742551	4.02E-05	0.003353421	0	0.000106044	0.127405109	0.000433138	0	0	4.24E-06	0.000991578	0	0.011112436	0	0	0	1.14E-05	0	0.000633056
47	16	0.012288086	0.055262842	0.011749537	0.014028497	0.042590627	0.02967082	0.034414086	0.017524493	0.013381109	0.025058712	0.059222839	0.21158044	0.030193427	0.049913319	0.051907187	0.094505285	0.021883209	0.056280947	0.038051461	0.06112686	0.3422732	0.029497388	0.024880112	0.071086634	0.102119054	0.006910839	0.023281773	0.01560049	0.073440286	0.113759594	0.008354657	0.062555765	0.072348385	0.006756829	0	1.87E-06	0	0	0.00638034	0.008188116	0	0.009424526	0.001655973	0	6.77E-05	0.004567266	0.00042917	0.000276689	0.001396074	0.00168448	0.000500715	0.000923663	0.003533878	2.33E-05	0	0.001516758	0.000845027	0.000852099	0	0.000338824	0.001147001	0	4.74E-06	0	0	0.000126676	3.77E-05	0.000221051	0	0.0363562	0	0.00558856	0.003371512	0.639027177	0.005501613	0.004118978	0.001711079	0	2.92E-05	0.005312709	0.07690947	4.03E-05	0.003491344	0	0.000109772	0.008481865	0.00037831	0	0	4.64E-06	0.001001798	0.010765163	0.013259285	0	0	0	1.18E-05	0	0.000695052
47	17	0.010922143	0.060715251	0.010465514	0.012202599	0.046244863	0.029492271	0.034744312	0.012940303	0.0140541	0.02323708	0.058775349	0.219304767	0.029115832	0.053803897	0.056605869	0.100155448	0.021923037	0.054530865	0.039367587	0.0626448	0.342952747	0.029515628	0.024847217	0.072105571	0.100454771	0.003664328	0.023554254	0.013237795	0.047051148	0.135120828	0.007271647	0.060210964	0.071935709	0.005871898	0.001916279	1.71E-06	0	0.001170638	0.001588377	0.006717271	0	0	0.001390516	0	5.62E-05	0.003150423	0.000386485	0.000233961	0.001256837	0.001443633	0.00045215	0	0.003085054	1.96E-05	0	0.001293314	0.000646266	0.000696713	0	0.000391956	0.000984433	0	4.98E-06	0	0	0.000109521	3.75E-05	0.000192967	1.23E-05	0.042490931	0	0.004811631	0.0029262	0.381142892	0.004558358	0	0	0	2.35E-05	0.006065474	0.172743272	3.28E-05	0.002948481	0	9.22E-05	0	0.000288879	0	0	4.15E-06	0.000822895	0.092721072	0.012289269	0	0	0	9.94E-06	0	0.000624575
47	18	0.009872965	0.065312831	0.0094741	0.01069313	0.049599772	0.029879832	0.034498857	0.009194727	0.014688169	0.02152655	0.058684339	0.225440173	0.028500395	0.05729499	0.062516129	0.104326971	0.022917841	0.052894129	0.04023398	0.064220074	0.341706275	0.029092821	0.024775653	0.072925941	0.100299904	0.001218313	0.023903802	0.011137665	0.025349514	0.134522725	0.006437416	0.058350691	0.071658801	0.005206084	0.006849752	1.99E-06	0	0.006072214	0	0.007125926	0	0	0.001491791	0	6.07E-05	0.00151894	0.000449332	0.000256023	0.001448953	0.001580579	0.000525585	0.000414507	0.003466093	2.10E-05	0	0.001412049	0.000631578	0.000729394	0	0.000558655	0.001095266	0	6.69E-06	0	0	0.000121804	4.79E-05	0.000215934	4.65E-05	0.052785613	0	0.005317292	0.003248088	0.081545757	0.004828769	0.007194289	0	0	2.42E-05	0.008454926	0.253169415	3.41E-05	0.003181925	2.50E-06	9.89E-05	0	0.000312992	0	0	4.77E-06	0.000865127	0.178716539	0.014093652	0	0	0	1.07E-05	0.000248459	0.000723986
47	19	0.00910588	0.069099603	0.008742152	0.00946769	0.052649541	0.030748246	0.033733134	0.006205803	0.01527877	0.019929377	0.058885636	0.230056328	0.028286317	0.060389783	0.069429396	0.107142834	0.024740283	0.051355611	0.040679281	0.065809156	0.338662068	0.028278595	0.024663514	0.073537215	0.101293017	0	0.0243171	0.009281182	0.007903317	0.128215796	0.005824921	0.05692881	0.071476886	0.004734967	0.008752099	1.79E-06	0	0.006876457	0	0.005928025	0	0	0.001239207	0.000737115	5.18E-05	0	0.00040913	0.000219919	0.001298968	0.001340815	0.000477343	0.042914608	0.003041342	1.75E-05	0	0.001197163	0.000476922	0.000592202	0	0.000603548	0.000958045	0	6.98E-06	0	0	0.000105705	4.77E-05	0.000187959	7.41E-05	0.038925576	0	0.004575104	0.002798165	0	0.0039619	0.353639019	0	0	1.93E-05	0.008864686	0.13622273	2.74E-05	0.002659856	0.000968772	8.21E-05	0.000662736	0.00029461	0	0	4.29E-06	0.000705135	0.136438208	0.012232458	0	0	0	8.86E-06	0.000959864	0.000656763
47	20	0.008567012	0.071920347	0.008218053	0.008475506	0.055237673	0.03193165	0.03241454	0.003891242	0.015778982	0.018402145	0.059162389	0.232596275	0.028342114	0.06291986	0.076935501	0.108427537	0.027196259	0.049772396	0.04062204	0.067190957	0.333065603	0.027049484	0.024444676	0.073733558	0.102816242	0	0.02471595	0.007633597	0	0.143919405	0.005395554	0.055757903	0.071163966	0.004424721	0.00990244	1.76E-06	0	0	0	0.005412972	0	0.000762883	0.001114351	0.001204184	4.88E-05	0	0.000408517	0.000207605	0.001268862	0.001233184	0.000474495	0.083013628	0.002919267	1.57E-05	0	0.001102982	0.000387897	0.000521054	1.96E-08	0.00069786	0.000922309	0	7.89E-06	0.000312227	0	0.000100215	5.20E-05	0.000178216	0.00010769	0.024106963	0	0.004290799	0.002619762	0	0.003518597	0.652495526	0	0	1.67E-05	0.009873018	0.013434195	2.39E-05	0.002408567	0.00146662	7.39E-05	0	0.000331257	0	0	4.21E-06	0.000622668	0.070717879	0.011298977	0	0	0	7.96E-06	0.001257053	0.000652878
47	21	0.008216612	0.073669016	0.007863885	0.007684594	0.057240215	0.03328491	0.030560122	0.002195517	0.016153549	0.016936203	0.059357255	0.232727705	0.028564956	0.064758318	0.084625501	0.108110239	0.030092966	0.048070619	0.040025878	0.06820163	0.324579265	0.025424381	0.024081349	0.07338623	0.104349456	0	0.02504385	0.00618485	0	0.207982203	0.005120457	0.05472024	0.070572939	0.004249064	0.009684025	1.66E-06	0	0	0	0.004786468	0	0.00596132	0.000955335	0.001306694	4.49E-05	0	0.000394807	0.000190079	0.001192582	0.001084135	0.00045581	0.089447886	0.002706308	1.35E-05	0	0.000973863	0.000297928	0.000437284	3.75E-07	0.000766357	0.000862307	0	8.54E-06	0.000965453	0	9.16E-05	5.46E-05	0.000162449	0.000138222	0.010881662	0	0.003870228	0.002352254	0.012874728	0.002977361	0.646381464	0.000479451	0	1.37E-05	0.010360616	0	1.98E-05	0.002081451	0.001549799	6.33E-05	0.007929117	0.000380258	0	0	4.00E-06	0.000524359	0.028154125	0.009822805	0	0	0	6.83E-06	0.000812539	0.000627746
47	22	0.008029928	0.074387559	0.007656399	0.007079076	0.058641307	0.034717838	0.02826298	0.00106763	0.016398108	0.015561471	0.059427323	0.230599113	0.028903456	0.065903103	0.092211115	0.10635151	0.033274267	0.046278972	0.03894237	0.068808735	0.313573589	0.023484769	0.023585866	0.072517282	0.105574302	0	0.025291365	0.004941331	0	0.331846903	0.004979921	0.053805628	0.069699495	0.004188964	0.009918102	1.77E-06	0	0.072709019	0	0.004799876	0	0.009901282	0.000911868	0.001328589	4.72E-05	0	0.000432677	0.000197744	0.001263994	0.001065579	0.000495922	0.074701833	0.002839915	1.29E-05	0	0.000964279	0.000250493	0.0004085	8.13E-07	0.000939901	0.000917113	0	1.04E-05	0.002029608	0	9.45E-05	6.49E-05	0.000166749	0.000190301	0.002485647	0	0.003931693	0.002372136	0.011097335	0.002801411	0.519101969	0.001518144	0	1.24E-05	0.012033766	0	1.81E-05	0.002005864	0.0015582	6.04E-05	0.018363745	0.000507202	0	0	4.30E-06	0.000491478	0.02254703	0.009422697	0	0	0	6.52E-06	0	0.000683992
47	23	0.007999231	0.074323549	0.007588719	0.006655989	0.05958662	0.036231493	0.025686462	0.000446922	0.016552309	0.014339829	0.05948124	0.22696587	0.029378152	0.066532427	0.099663383	0.103594395	0.036673923	0.044537114	0.037525189	0.069161285	0.301207209	0.021368978	0.023030002	0.071336278	0.106459304	0	0.025514098	0.003914207	0	0.492342061	0.004964236	0.053132249	0.068715874	0.004233986	0.008835616	1.74E-06	0	0.388089293	0	0.004475424	0	0.010044197	0.000791145	0.001057254	4.65E-05	0	0.000441096	0.000191738	0.001239537	0.000958189	0.000501465	0.03216677	0.002768294	1.11E-05	0	0.000876898	0.000185606	0.000346449	1.25E-06	0.001058878	0.000910017	0	1.17E-05	0.003337298	0	9.03E-05	7.17E-05	0.000158055	0.000234703	0	0	0.003687991	0.002202575	0.004729047	0.002390278	0.288964548	0.002014539	0	1.01E-05	0.012702704	0.003443127	1.50E-05	0.001761347	0.001246349	5.24E-05	0.017744353	0.000632721	2.58E-06	0	4.29E-06	0.000418224	0.043460015	0.008182902	0	0	0	5.65E-06	0	0.000692824
47	24	0.008210379	0.074591852	0.00774196	0.006481472	0.060940112	0.038286448	0.023235908	0.000265916	0.016852934	0.013472944	0.060325953	0.225155663	0.030364998	0.06761677	0.108289703	0.101429113	0.040732998	0.043466744	0.036335015	0.070226185	0.291882823	0.019416849	0.022742451	0.070861205	0.108253019	0	0.026070964	0.003137752	0	0.555344989	0.005121973	0.053424582	0.068576988	0.004424756	0.007200923	1.65E-06	0	0.648395183	0.00112273	0.004064649	0	0.011250295	0.000649169	0.000632647	4.50E-05	4.82E-05	0.000438498	0.000181641	0.001179094	0.000823347	0.000494161	0.013840468	0.002628869	9.15E-06	0	0.00076598	0.000122228	0.000277087	1.66E-06	0.00115088	0.000882914	0	1.26E-05	0.004885426	0	8.38E-05	7.70E-05	0.000144946	0.000274618	0	0	0.003345785	0.001972142	0	0.001920718	0.123674967	0.00154723	0	7.71E-06	0.012766828	0.005007187	1.15E-05	0.001468497	0.000785879	4.30E-05	0.013486968	0.00076597	8.16E-06	0	4.17E-06	0.000335692	0.067217333	0.006748964	0	0	0	4.64E-06	0	0.000683868
47	25	0.008741466	0.076060709	0.008187129	0.006599547	0.06343253	0.041338783	0.021102261	0.000466658	0.017497404	0.013080808	0.062627239	0.227645443	0.032204822	0.069956014	0.119521828	0.100977682	0.045993802	0.043500284	0.035743251	0.072800965	0.28854918	0.017796652	0.022964037	0.071853726	0.111949409	0.000482795	0.027269657	0.002603526	0	0.418270607	0.005499343	0.055268326	0.070014595	0.004802667	0.005490989	1.56E-06	0	0.617386416	0.002914319	0.003673041	0	0.019749529	0.000508598	0.000153909	4.37E-05	0.006463444	0.000434549	0.000171866	0.001112215	0.000687355	0.00048528	0.051159544	0.002487619	7.16E-06	0	0.000654911	6.59E-05	0.000210316	2.05E-06	0.001235463	0.000856064	0	1.36E-05	0.006732887	0	7.70E-05	8.23E-05	0.000131376	0.000313647	0	0	0.002998022	0.001738659	0	0.001461956	0.108865419	0	0	5.39E-06	0.012459794	0.005415835	8.20E-06	0.00117698	0.000298008	3.37E-05	0.01792332	0.000915669	1.39E-05	0	4.03E-06	0.000255875	0.072337376	0.005424088	0	0	0	3.63E-06	0.001296636	0.000672458
47	26	0.00948933	0.077810817	0.008823667	0.006916422	0.066342184	0.044950297	0.018927892	0.001018708	0.018284414	0.012988405	0.065644515	0.231589942	0.034538149	0.072739931	0.13222887	0.10095249	0.052049932	0.044070692	0.035258573	0.076029231	0.287329026	0.016223877	0.023405164	0.073409887	0.115949646	0.002000691	0.028810435	0.002248924	0	0.196447868	0.006031084	0.058029799	0.072160593	0.005312292	0.004100475	1.51E-06	0	0.445890062	0.004764339	0.00342532	0	0.042760342	0.000385894	0	4.41E-05	0.016575905	0.000445692	0.000168629	0.001080039	0.000573816	0.000493202	0.087860227	0.002436881	5.43E-06	0	0.000566383	1.72E-05	0.000152515	2.52E-06	0.001361461	0.000861006	0	1.49E-05	0.009229842	0	7.29E-05	9.10E-05	0.000122076	0.000364601	0	0	0.002751204	0.001564535	0	0.001059522	0.177515968	0	0	3.34E-06	0.012200747	0.006138663	5.26E-06	0.000925673	0	2.56E-05	0.043911263	0.001120468	2.06E-05	0	4.03E-06	0.000186636	0.067688723	0.004460569	0	0	0	2.76E-06	0.014281099	0.000683882
47	27	0.010299011	0.078628251	0.009505237	0.007316749	0.068629797	0.048395711	0.016422866	0.001884929	0.018928272	0.013015367	0.068339337	0.233390343	0.036815737	0.074832344	0.14430447	0.099821792	0.05806836	0.044499422	0.034327003	0.0787105	0.283785016	0.014462939	0.023703687	0.074377203	0.118108451	0.003821421	0.030253681	0.002039993	0	0.043800065	0.006617071	0.060832264	0.073880017	0.005864758	0.002975433	1.44E-06	0	0.285277335	0.006468606	0.003173138	0	0.080580238	0.000259239	0	4.45E-05	0.029703031	0.000455539	0.000165204	0.001039464	0.000454435	0.000499646	0.065537375	0.002381446	3.65E-06	0	0.000473695	0	9.43E-05	2.99E-06	0.001484164	0.000864749	0	1.63E-05	0.012263424	0	6.82E-05	0.000100163	0.000111843	0.000416622	0	0	0.002485406	0.001380975	0.002778428	0.000649297	0.240501292	0	0	1.30E-06	0.011474231	0.00660407	2.30E-06	0.000664763	0	1.72E-05	0.095994347	0.001351283	2.78E-05	0	4.01E-06	0.000116696	0.060935351	0.003695971	0	0	0	1.85E-06	0.036387782	0.000692589
47	28	0.01109898	0.078212435	0.010165697	0.007753697	0.069971604	0.051358299	0.013627982	0.003006207	0.019340195	0.01314173	0.070365038	0.232196959	0.03881824	0.075898519	0.154767173	0.097331061	0.063609035	0.044629859	0.032860364	0.080462241	0.277127503	0.012547822	0.023771215	0.074458341	0.11757461	0.0058514	0.031454448	0.001979764	0	0	0.007207301	0.063398952	0.074848407	0.006413794	0.002137454	1.35E-06	0	0.167488375	0.007940913	0.002915714	0	0.106813832	0.000130404	0	4.48E-05	0.038970312	0.000461428	0.000160722	0.000985837	0.000329886	0.000501916	0.028014837	0.002311133	1.83E-06	0	0.000376669	0	3.66E-05	3.44E-06	0.001592651	0.000862293	0	1.75E-05	0.015889065	0	6.29E-05	0.000109174	0.000100322	0.000466404	0.001031065	0	0.002193271	0.001186267	0.010603883	0.000237757	0.284502487	0.00476386	0	0	0.010321009	0.006713519	0	0.000397199	0	8.61E-06	0.143512164	0.001598309	3.53E-05	0	3.94E-06	4.71E-05	0.054003623	0.003127766	0	0	0	9.28E-07	0.054718491	0.000694583
