subjectid$id	week sample obtained$clinical	m__hmdb00014$metabolite	m__hmdb00020$metabolite	m__hmdb00030$metabolite	m__hmdb00043$metabolite	m__hmdb00056$metabolite	m__hmdb00089$metabolite	m__hmdb00097$metabolite	m__hmdb00195$metabolite	m__hmdb00209$metabolite	m__hmdb00239$metabolite	m__hmdb00251$metabolite	m__hmdb00289$metabolite	m__hmdb00296$metabolite	m__hmdb00619$metabolite	m__hmdb00630$metabolite	m__hmdb00764$metabolite	m__hmdb01149$metabolite	m__hmdb01257$metabolite	m__hmdb02322$metabolite	s__subdoligranulum_unclassified$taxa	s__bacteroides_eggerthii$taxa	s__odoribacter_splanchnicus$taxa	s__bacteroides_fragilis$taxa	s__ruminococcus_bromii$taxa	s__eubacterium_eligens$taxa	s__eubacterium_siraeum$taxa	s__roseburia_inulinivorans$taxa	s__bacteroides_massiliensis$taxa	s__parabacteroides_distasonis$taxa	s__peptostreptococcaceae_noname_unclassified$taxa	s__akkermansia_muciniphila$taxa	s__lachnospiraceae_bacterium_5_1_63faa$taxa	s__clostridium_hathewayi$taxa	s__lachnospiraceae_bacterium_1_1_57faa$taxa	s__streptococcus_thermophilus$taxa	s__anaerostipes_hadrus$taxa	s__roseburia_intestinalis$taxa	s__ruminococcus_torques$taxa	s__alistipes_shahii$taxa	s__bacteroides_cellulosilyticus$taxa	s__ruminococcus_gnavus$taxa	s__clostridium_symbiosum$taxa	s__ruminococcus_lactaris$taxa	s__bacteroides_dorei$taxa	s__eubacterium_hallii$taxa	s__veillonella_dispar$taxa	s__bacteroides_finegoldii$taxa	s__bacteroides_thetaiotaomicron$taxa	s__parabacteroides_merdae$taxa	s__coprococcus_catus$taxa	s__clostridiales_bacterium_1_7_47faa$taxa	s__anaerotruncus_colihominis$taxa	s__bacteroides_vulgatus$taxa	s__ruminococcus_obeum$taxa	s__bifidobacterium_longum$taxa	s__dorea_formicigenerans$taxa	s__clostridium_bolteae$taxa	s__streptococcus_parasanguinis$taxa	s__c2likevirus_unclassified$taxa	s__bacteroides_xylanisolvens$taxa	s__faecalibacterium_prausnitzii$taxa	s__bacteroides_uniformis$taxa	s__bacteroides_faecis$taxa	s__clostridium_citroniae$taxa	s__veillonella_unclassified$taxa	s__escherichia_coli$taxa	s__clostridium_clostridioforme$taxa	s__bacteroides_stercoris$taxa	s__parabacteroides_unclassified$taxa	s__alistipes_onderdonkii$taxa	s__eubacterium_rectale$taxa	s__oscillibacter_unclassified$taxa	s__eubacterium_ventriosum$taxa	s__prevotella_copri$taxa	s__bacteroides_caccae$taxa	s__bacteroides_ovatus$taxa	s__sutterella_wadsworthensis$taxa	s__haemophilus_parainfluenzae$taxa	s__alistipes_putredinis$taxa	s__clostridium_asparagiforme$taxa	s__barnesiella_intestinihominis$taxa	s__alistipes_finegoldii$taxa	s__dialister_invisus$taxa	s__klebsiella_pneumoniae$taxa
47	10	0.002862293	0.000264046	0.0036002	0.000812996	0.009180671	0.023124976	0.016022127	0.001716567	0.000463819	0.142565575	0.000319135	0	0.003021479	0.008354775	0.000210786	0.000550832	0.006169168	0.7522386	0.829365976	0.237938789	8.31E-07	0	0.026936246	0.015287097	0.009658152	0	0.004781738	0.001549182	0.210099168	9.84E-05	0	0.000326703	0.00032778	0.000772539	0.001314685	0.000334178	0.0028086	0.002941821	2.18E-05	0	0.001320795	0.001540783	0.001027153	0	0	0.001291175	0	2.32E-06	0.000675279	0	0.000113397	1.30E-05	0.000164743	0	0	0	0.004836311	0.002412721	0.005797794	0.005827554	0.108975398	0.114948915	0	3.85E-05	0	0.008317872	4.90E-05	0.003127022	0.1294182	0.000102694	0.013373927	0.001393196	0	0	3.35E-06	0.001158277	0.013469655	0.00395525	0	0	0	1.11E-05	0.002982866	0.000523566
47	11	0.002890828	0.000253953	0	0.000630357	0.00856617	0.022745167	0.01532209	0.001688001	0.000465374	0.126855734	9.24E-05	0.001531742	0.002965124	0.007944912	0.000207137	0.000569882	0.006080495	0.675279913	0.780792227	0.201238224	1.06E-06	0	0.023441236	0.007882452	0.009688317	0	0.017175715	0.001608294	0.16134904	9.06E-05	0	0.000341029	0.000314884	0.00090825	0.001428387	0.000364375	0.009604968	0.003073716	2.27E-05	0	0.001387046	0.001398191	0.001004019	0	0	0.001245124	0	2.22E-06	0.000473266	0	0.000116531	1.60E-05	0.000178766	0	0	0	0.005045613	0.002675116	0.022596521	0.005870879	0.201087171	0.110663183	0	3.70E-05	0	0.005815503	4.79E-05	0.003278922	0.0934926	0.000106613	0.008253397	0.001119793	0	0	3.59E-06	0.001142827	0.027370083	0.00461998	0	0	0	1.15E-05	0.001616073	0.000549514
47	12	0.002922133	0.000244065	0	0.000481606	0.007893457	0.02235833	0.014704971	0.00165097	0.000466941	0.113144195	0	0.006711048	0.002898238	0.007554887	0.000203596	0.000586763	0.005947922	0.599087888	0.732507728	0.104132845	1.26E-06	0	0.052940095	0.008418573	0.009545767	0	0.033472503	0.001647613	0.089401441	8.40E-05	0	0.000356025	0.000303836	0.001027618	0.001516951	0.000392718	0.034862065	0.003186514	2.32E-05	0	0.001436839	0.001268226	0.000977934	0	0	0.001208305	0	2.33E-06	0.000226151	0	0.000119146	1.94E-05	0.000190458	0	0.001249667	0	0.005212178	0.002887158	0	0.005867414	0.361585496	0.074386801	0	3.55E-05	0.000126405	0.001555823	4.67E-05	0.003387017	0.046987067	0.000109221	0.048089193	0.000892964	0	0	3.81E-06	0.001122232	0.035223777	0.005957629	0	0	0	1.18E-05	0.00041033	0.000575774
47	13	0.002958587	0.000234497	0	0.000361619	0.00718143	0.021981633	0.014166487	0.001607707	0.000468921	0.101151684	0	0.012841536	0.002824406	0.007186176	0.0002003	0.000602362	0.005783132	0.526386224	0.684813689	0.029896216	1.31E-06	0	0.043292205	0.011129197	0.008495597	0	0.042017253	0.00152889	0.032576144	7.19E-05	0	0.000340564	0.000269658	0.001037822	0.001450224	0.000384406	0.054513907	0.003007351	2.16E-05	0	0.001348321	0.001052199	0.000869189	0	5.57E-05	0.001080552	0	2.43E-06	0	0	0.000111111	2.12E-05	0.000183298	0	0.006037991	0	0.004892206	0.002798431	0	0.005331954	0.469478202	0.03782401	0	3.11E-05	0.000922787	0	4.14E-05	0.003165519	0.013447209	0.00010135	0.143343572	0.000648453	0	0	3.68E-06	0.001004597	0.019574719	0.007072673	0	0	0	1.09E-05	0	0.000551943
47	14	0.003004377	0.000225477	0	0.000266418	0.006448641	0.021642937	0.013711765	0.001560893	0.000471973	0.090697268	0	0.019889208	0.002748158	0.006843921	0.000197488	0.000617853	0.005598839	0.459957403	0.638267645	0	1.54E-06	0	0.020700226	0.013867835	0.008616891	0	0.044776772	0.001617921	0.005479936	7.14E-05	0.001853495	0.000375385	0.000276716	0.001185021	0.001574584	0.000430596	0.062021761	0.003252842	2.28E-05	0	0.001443583	0.001002928	0.000886047	0	0.000135798	0.001119386	0	3.05E-06	0	0	0.000118903	2.65E-05	0.000200951	0	0.013667454	0	0.005252591	0.003076651	0.000762704	0.005541325	0.5020706	0.01820933	0	3.12E-05	0.002129944	0	4.21E-05	0.00337142	0	0.000107252	0.211153762	0.000542357	0	0	4.08E-06	0.001030587	0	0.009345252	0	0	0	1.16E-05	0	0.000608888
47	15	0.003032255	0.000214945	0	0.000190692	0.005649589	0.021146937	0.013208197	0.001497038	0.000471831	0.080770343	0	0.027598541	0.002645639	0.006464665	0.000193367	0.00062784	0.005349543	0.39826026	0.587076072	0	1.66E-06	0	0.004668925	0.0111535	0.008183826	0	0.029160638	0.001599713	0	6.73E-05	0.003745836	0.000390394	0.00026875	0.001258275	0.001593009	0.000452617	0.035666201	0.003304307	2.26E-05	0	0.001445285	0.00089806	0.000847704	0	0.000223018	0.001099545	0	3.69E-06	0	0	0.000119591	3.08E-05	0.000205861	0	0.022997046	0	0.005285942	0.003150213	0.349641428	0.005392057	0.28149503	0.006637078	0	2.94E-05	0.003504006	0.010742551	4.02E-05	0.003353421	0	0.000106044	0.127405109	0.000433138	0	0	4.24E-06	0.000991578	0	0.011112436	0	0	0	1.14E-05	0	0.000633056
47	16	0.003062402	0.00020447	0	0.000134267	0.004844519	0.020643328	0.01274405	0.001427564	0.000471699	0.07187877	0	0.036002807	0.002536873	0.006095592	0.000189292	0.000636615	0.00507906	0.347461541	0.535826822	0	1.87E-06	0	0	0.00638034	0.008188116	0	0.009424526	0.001655973	0	6.77E-05	0.004567266	0.00042917	0.000276689	0.001396074	0.00168448	0.000500715	0.000923663	0.003533878	2.33E-05	0	0.001516758	0.000845027	0.000852099	0	0.000338824	0.001147001	0	4.74E-06	0	0	0.000126676	3.77E-05	0.000221051	0	0.0363562	0	0.00558856	0.003371512	0.639027177	0.005501613	0.004118978	0.001711079	0	2.92E-05	0.005312709	0.07690947	4.03E-05	0.003491344	0	0.000109772	0.008481865	0.00037831	0	0	4.64E-06	0.001001798	0.010765163	0.013259285	0	0	0	1.18E-05	0	0.000695052
47	17	0.00309957	0.000194328	0	9.52E-05	0.004051207	0.020162881	0.012331326	0.001354912	0.000472302	0.063975311	0	0.045127028	0.00242625	0.005744256	0.000185538	0.000645303	0.004798713	0.310035655	0.485223265	0.001916279	1.71E-06	0	0.001170638	0.001588377	0.006717271	0	0	0.001390516	0	5.62E-05	0.003150423	0.000386485	0.000233961	0.001256837	0.001443633	0.00045215	0	0.003085054	1.96E-05	0	0.001293314	0.000646266	0.000696713	0	0.000391956	0.000984433	0	4.98E-06	0	0	0.000109521	3.75E-05	0.000192967	1.23E-05	0.042490931	0	0.004811631	0.0029262	0.381142892	0.004558358	0	0	0	2.35E-05	0.006065474	0.172743272	3.28E-05	0.002948481	0	9.22E-05	0	0.000288879	0	0	4.15E-06	0.000822895	0.092721072	0.012289269	0	0	0	9.94E-06	0	0.000624575
47	18	0.003142872	0.0001844	0	7.18E-05	0.003277317	0.019696669	0.011958392	0.001278585	0.000473478	0.056891057	0	0.054959657	0.002313077	0.005406493	0.000182023	0.000653814	0.004509391	0.28474813	0.434886481	0.006849752	1.99E-06	0	0.006072214	0	0.007125926	0	0	0.001491791	0	6.07E-05	0.00151894	0.000449332	0.000256023	0.001448953	0.001580579	0.000525585	0.000414507	0.003466093	2.10E-05	0	0.001412049	0.000631578	0.000729394	0	0.000558655	0.001095266	0	6.69E-06	0	0	0.000121804	4.79E-05	0.000215934	4.65E-05	0.052785613	0	0.005317292	0.003248088	0.081545757	0.004828769	0.007194289	0	0	2.42E-05	0.008454926	0.253169415	3.41E-05	0.003181925	2.50E-06	9.89E-05	0	0.000312992	0	0	4.77E-06	0.000865127	0.178716539	0.014093652	0	0	0	1.07E-05	0.000248459	0.000723986
47	19	0.003190497	0.000174539	0	6.28E-05	0.002532346	0.019231239	0.011611939	0.001197791	0.000474932	0.050480682	0	0.06546563	0.002196172	0.005077741	0.000178622	0.000661829	0.004211141	0.269838788	0.384444431	0.008752099	1.79E-06	0	0.006876457	0	0.005928025	0	0	0.001239207	0.000737115	5.18E-05	0	0.00040913	0.000219919	0.001298968	0.001340815	0.000477343	0.042914608	0.003041342	1.75E-05	0	0.001197163	0.000476922	0.000592202	0	0.000603548	0.000958045	0	6.98E-06	0	0	0.000105705	4.77E-05	0.000187959	7.41E-05	0.038925576	0	0.004575104	0.002798165	0	0.0039619	0.353639019	0	0	1.93E-05	0.008864686	0.13622273	2.74E-05	0.002659856	0.000968772	8.21E-05	0.000662736	0.00029461	0	0	4.29E-06	0.000705135	0.136438208	0.012232458	0	0	0	8.86E-06	0.000959864	0.000656763
