confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__barnesiella_intestinihominis,s__bacteroides_faecis,s__alistipes_shahii,1,1,0.99,0.99,DBN_,T,TT
s__ruminococcus_gnavus,s__haemophilus_parainfluenzae,s__roseburia_inulinivorans,0.9,0.99,1,0.891,DBN_,T,TT
s__barnesiella_intestinihominis,s__bacteroides_cellulosilyticus,s__bacteroides_faecis,0.85,1,0.99,0.8415,DBN_,T,TT
s__ruminococcus_lactaris,s__bacteroides_faecis,s__alistipes_shahii,0.65,0.94,0.99,0.60489,DBN_,T,TT
s__clostridium_hathewayi,s__clostridium_clostridioforme,s__bacteroides_ovatus,1,0.82,0.71,0.5822,DBN_,T,TT
s__ruminococcus_gnavus,s__haemophilus_parainfluenzae,s__roseburia_inulinivorans,0.9,0.99,0.63,0.56133,DBN_,T,TT
s__barnesiella_intestinihominis,s__bacteroides_faecis,s__alistipes_shahii,1,1,0.56,0.56,DBN_,T,TT
s__coprococcus_catus,s__haemophilus_parainfluenzae,s__eubacterium_ventriosum,0.55,1,1,0.55,DBN_,T,TT
s__coprococcus_catus,s__haemophilus_parainfluenzae,s__klebsiella_pneumoniae,0.55,1,1,0.55,DBN_,T,TT
s__clostridium_hathewayi,s__clostridium_clostridioforme,s__bacteroides_uniformis,1,0.74,0.55,0.407,DBN_,T,TT
s__clostridium_symbiosum,s__clostridium_clostridioforme,s__bacteroides_ovatus,0.67,0.83,0.71,0.394831,DBN_,T,TT
s__ruminococcus_lactaris,s__bacteroides_faecis,s__alistipes_shahii,0.65,0.94,0.56,0.34216,DBN_,T,TT
s__ruminococcus_gnavus,s__roseburia_inulinivorans,s__haemophilus_parainfluenzae,0.99,0.9,0.37,0.32967,DBN_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_finegoldii,s__bacteroides_thetaiotaomicron,0.96,1,0.32,0.3072,DBN_,T,TT
s__coprococcus_catus,s__haemophilus_parainfluenzae,s__roseburia_inulinivorans,0.55,0.54,1,0.297,DBN_,T,TT
s__clostridium_symbiosum,s__escherichia_coli,s__clostridium_clostridioforme,0.64,0.67,0.68,0.291584,DBN_,T,TT
s__veillonella_unclassified,s__bacteroides_fragilis,s__eubacterium_rectale,0.98,0.29,0.83,0.235886,DBN_,T,TT
s__clostridium_symbiosum,s__clostridium_clostridioforme,s__bacteroides_fragilis,0.67,0.98,0.35,0.22981,DBN_,T,TT
s__clostridium_symbiosum,s__haemophilus_parainfluenzae,s__eubacterium_ventriosum,0.19,1,1,0.19,DBN_,T,TT
s__coprococcus_catus,s__haemophilus_parainfluenzae,s__roseburia_inulinivorans,0.55,0.54,0.63,0.18711,DBN_,T,TT
s__coprococcus_catus,s__roseburia_inulinivorans,s__haemophilus_parainfluenzae,0.54,0.55,0.37,0.10989,DBN_,T,TT
s__veillonella_unclassified,s__eubacterium_rectale,s__roseburia_intestinalis,0.29,0.69,0.5,0.10005,DBN_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_finegoldii,s__bacteroides_thetaiotaomicron,0.96,1,0.1,0.096,DBN_,T,TT
s__clostridium_symbiosum,s__escherichia_coli,s__bacteroides_finegoldii,0.64,0.15,0.98,0.09408,DBN_,T,TT
s__barnesiella_intestinihominis,s__bacteroides_cellulosilyticus,s__bacteroides_faecis,0.85,1,0.1,0.085,DBN_,T,TT
s__ruminococcus_gnavus,s__roseburia_intestinalis,s__haemophilus_parainfluenzae,0.39,0.9,0.23,0.08073,DBN_,T,TT
s__veillonella_unclassified,s__roseburia_intestinalis,s__bacteroides_fragilis,0.69,0.98,0.11,0.074382,DBN_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_finegoldii,s__bacteroides_caccae,0.96,0.28,0.19,0.051072,DBN_,T,TT
s__clostridium_hathewayi,s__bacteroides_stercoris,s__bacteroides_ovatus,0.22,0.82,0.28,0.050512,DBN_,T,TT
s__clostridium_symbiosum,s__haemophilus_parainfluenzae,s__bacteroides_fragilis,0.19,0.98,0.13,0.024206,DBN_,T,TT
s__clostridium_symbiosum,s__bacteroides_finegoldii,s__clostridium_clostridioforme,0.15,0.67,0.22,0.02211,DBN_,T,TT
s__clostridium_hathewayi,s__bacteroides_ovatus,s__bacteroides_stercoris,0.82,0.22,0.1,0.01804,DBN_,T,TT
s__clostridium_symbiosum,s__clostridium_clostridioforme,s__haemophilus_parainfluenzae,0.67,0.19,0.12,0.015276,DBN_,T,TT
m__hmdb00239,s__bacteroides_cellulosilyticus,s__bacteroides_faecis,1,0.95,0.99,0.9405,DBN_,T,TM
m__hmdb00619,s__clostridium_clostridioforme,s__streptococcus_parasanguinis,0.44,0.4,1,0.176,DBN_,T,TM
m__hmdb00239,s__bacteroides_cellulosilyticus,s__bacteroides_faecis,1,0.95,0.1,0.095,DBN_,T,TM
m__hmdb00056,s__bacteroides_stercoris,s__bacteroides_faecis,0.36,0.79,0.16,0.045504,DBN_,T,TM
m__hmdb00619,s__clostridium_clostridioforme,s__streptococcus_parasanguinis,0.44,0.4,0.17,0.02992,DBN_,T,TM
g__uridine kinase,s__bacteroides_finegoldii,s__bacteroides_faecis,0.74,0.29,0.45,0.09657,DBN_,T,TG
g__uridine kinase,s__bacteroides_finegoldii,s__bacteroides_faecis,0.74,0.29,0.25,0.05365,DBN_,T,TG
m__hmdb00619,s__clostridium_clostridioforme,s__escherichia_coli,0.44,0.79,0.63,0.218988,DBN_,TT,TTM
