confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__dialister_invisus,s__bacteroides_fragilis,s__clostridium_bolteae,0.94,0.98,1,0.9212,DBN_,T,TT
s__dialister_invisus,s__clostridium_bolteae,s__akkermansia_muciniphila,0.98,0.98,0.79,0.758716,DBN_,T,TT
s__prevotella_copri,s__bacteroides_xylanisolvens,s__akkermansia_muciniphila,1,0.97,0.49,0.4753,DBN_,T,TT
s__dialister_invisus,s__akkermansia_muciniphila,s__bacteroides_fragilis,0.98,0.94,0.32,0.294784,DBN_,T,TT
s__prevotella_copri,s__bacteroides_xylanisolvens,s__akkermansia_muciniphila,1,0.97,0.29,0.2813,DBN_,T,TT
s__clostridium_hathewayi,s__roseburia_inulinivorans,s__escherichia_coli,0.69,0.33,1,0.2277,DBN_,T,TT
s__clostridium_hathewayi,s__bacteroides_caccae,s__bacteroides_fragilis,0.55,0.43,0.95,0.224675,DBN_,T,TT
s__ruminococcus_gnavus,s__roseburia_intestinalis,s__ruminococcus_torques,1,0.95,0.23,0.2185,DBN_,T,TT
s__peptostreptococcaceae_noname_unclassified,s__eubacterium_ventriosum,s__eubacterium_rectale,0.93,0.56,0.35,0.18228,DBN_,T,TT
s__peptostreptococcaceae_noname_unclassified,s__eubacterium_ventriosum,s__eubacterium_rectale,0.93,0.56,0.28,0.145824,DBN_,T,TT
s__clostridium_hathewayi,s__bacteroides_caccae,s__bacteroides_fragilis,0.55,0.43,0.47,0.111155,DBN_,T,TT
s__c2likevirus_unclassified,s__faecalibacterium_prausnitzii,s__eubacterium_rectale,1,0.67,0.15,0.1005,DBN_,T,TT
s__eubacterium_eligens,s__streptococcus_parasanguinis,s__alistipes_shahii,1,0.44,0.17,0.0748,DBN_,T,TT
s__peptostreptococcaceae_noname_unclassified,s__eubacterium_rectale,s__bifidobacterium_longum,0.56,0.12,0.99,0.066528,DBN_,T,TT
s__clostridium_hathewayi,s__escherichia_coli,s__bacteroides_fragilis,0.33,0.43,0.35,0.049665,DBN_,T,TT
s__clostridium_hathewayi,s__bacteroides_fragilis,s__roseburia_inulinivorans,0.43,0.69,0.12,0.035604,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__bacteroides_fragilis,0.34,0.3,0.22,0.02244,DBN_,T,TT
s__peptostreptococcaceae_noname_unclassified,s__bifidobacterium_longum,s__eubacterium_ventriosum,0.12,0.93,0.2,0.02232,DBN_,T,TT
s__clostridium_hathewayi,s__escherichia_coli,s__bacteroides_fragilis,0.33,0.43,0.1,0.01419,DBN_,T,TT
m__hmdb01257,s__escherichia_coli,s__bacteroides_finegoldii,1,0.66,0.65,0.429,DBN_,T,TM
m__hmdb00619,s__bacteroides_finegoldii,s__streptococcus_parasanguinis,0.28,0.98,0.96,0.263424,DBN_,T,TM
m__hmdb00619,s__bacteroides_finegoldii,s__streptococcus_parasanguinis,0.28,0.98,0.24,0.065856,DBN_,T,TM
m__hmdb00239,s__clostridium_clostridioforme,s__streptococcus_parasanguinis,0.18,0.54,0.65,0.06318,DBN_,T,TM
g__aspartate ammonia-lyase,s__escherichia_coli,s__bacteroides_finegoldii,0.86,0.13,0.65,0.07267,DBN_,T,TG
g__glucose-1-phosphate adenylyltransferase,s__roseburia_intestinalis,s__eubacterium_rectale,1,0.18,0.14,0.0252,DBN_,T,TG
g__glucose-1-phosphate adenylyltransferase,s__roseburia_inulinivorans,s__eubacterium_rectale,0.37,0.18,0.12,0.007992,DBN_,T,TG
g__glucose-1-phosphate adenylyltransferase,s__roseburia_inulinivorans,s__eubacterium_rectale,0.37,0.18,0.1,0.00666,DBN_,T,TG
