confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__anaerotruncus_colihominis,s__roseburia_inulinivorans,s__roseburia_intestinalis,0.25,0.25,0.2,0.0125,PyCausal_,T,TT
s__clostridium_symbiosum,s__roseburia_inulinivorans,s__roseburia_intestinalis,0.25,0.25,0.2,0.0125,PyCausal_,T,TT
s__clostridium_symbiosum,s__roseburia_intestinalis,s__roseburia_inulinivorans,0.25,0.25,0.2,0.0125,PyCausal_,T,TT
s__anaerotruncus_colihominis,s__roseburia_intestinalis,s__roseburia_inulinivorans,0.25,0.25,0.2,0.0125,PyCausal_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_thetaiotaomicron,s__roseburia_intestinalis,0.25,0.25,0.2,0.0125,PyCausal_,T,TT
s__sutterella_wadsworthensis,s__roseburia_intestinalis,s__bacteroides_thetaiotaomicron,0.25,0.25,0.2,0.0125,PyCausal_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_fragilis,s__roseburia_intestinalis,0.25,0.25,0.1,0.00625,PyCausal_,T,TT
s__sutterella_wadsworthensis,s__roseburia_intestinalis,s__bacteroides_fragilis,0.25,0.25,0.1,0.00625,PyCausal_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_thetaiotaomicron,s__roseburia_intestinalis,0.25,0.25,0.1,0.00625,PyCausal_,T,TT
s__sutterella_wadsworthensis,s__roseburia_intestinalis,s__bacteroides_thetaiotaomicron,0.25,0.25,0.1,0.00625,PyCausal_,T,TT
s__clostridium_symbiosum,s__roseburia_intestinalis,s__roseburia_inulinivorans,0.25,0.25,0.1,0.00625,PyCausal_,T,TT
s__anaerotruncus_colihominis,s__roseburia_intestinalis,s__roseburia_inulinivorans,0.25,0.25,0.1,0.00625,PyCausal_,T,TT
s__anaerotruncus_colihominis,s__roseburia_inulinivorans,s__roseburia_intestinalis,0.25,0.25,0.1,0.00625,PyCausal_,T,TT
s__clostridium_symbiosum,s__roseburia_inulinivorans,s__roseburia_intestinalis,0.25,0.25,0.1,0.00625,PyCausal_,T,TT
m__hmdb00030,s__clostridium_clostridioforme,s__bacteroides_faecis,0.1429,0.2857,0.3,0.012247959,PyCausal_,T,TM
m__hmdb02322,s__bacteroides_fragilis,s__eubacterium_rectale,0.5714,0.1429,0.1,0.008165306,PyCausal_,T,TM
m__hmdb02322,s__eubacterium_rectale,s__bacteroides_fragilis,0.1429,0.5714,0.1,0.008165306,PyCausal_,T,TM
m__hmdb00239,s__bacteroides_caccae,s__ruminococcus_torques,0.1429,0.1429,0.2,0.004084082,PyCausal_,T,TM
m__hmdb00239,s__ruminococcus_torques,s__bacteroides_caccae,0.1429,0.1429,0.2,0.004084082,PyCausal_,T,TM
m__hmdb00097,s__ruminococcus_torques,s__eubacterium_rectale,0.1429,0.2857,0.1,0.004082653,PyCausal_,T,TM
m__hmdb00239,s__bacteroides_caccae,s__ruminococcus_torques,0.1429,0.1429,0.1,0.002042041,PyCausal_,T,TM
g__dihydrolipoyl_dehydrogenase,s__escherichia_coli,s__haemophilus_parainfluenzae,0.4,0.3,0.1,0.012,PyCausal_,T,TG
g__dihydrolipoyl_dehydrogenase,s__haemophilus_parainfluenzae,s__escherichia_coli,0.3,0.4,0.1,0.012,PyCausal_,T,TG
g__superoxide_dismutase,s__bacteroides_uniformis,s__bacteroides_faecis,0.1,0.3,0.2,0.006,PyCausal_,T,TG
g__superoxide_dismutase,s__bacteroides_faecis,s__bacteroides_uniformis,0.3,0.1,0.2,0.006,PyCausal_,T,TG
g__triosephosphate_isomerase,s__bacteroides_finegoldii,s__bacteroides_caccae,0.1,0.2,0.2,0.004,PyCausal_,T,TG
g__endopeptidase_clp,s__bacteroides_cellulosilyticus,s__ruminococcus_torques,0.1,0.1,0.4,0.004,PyCausal_,T,TG
g__aspartate_ammonialyase,s__escherichia_coli,s__haemophilus_parainfluenzae,0.1,0.3,0.1,0.003,PyCausal_,T,TG
g__aspartate_ammonialyase,s__haemophilus_parainfluenzae,s__escherichia_coli,0.3,0.1,0.1,0.003,PyCausal_,T,TG
g__superoxide_dismutase,s__clostridium_bolteae,s__bacteroides_faecis,0.1,0.3,0.1,0.003,PyCausal_,T,TG
g__superoxide_dismutase,s__bacteroides_faecis,s__clostridium_bolteae,0.3,0.1,0.1,0.003,PyCausal_,T,TG
g__rna_helicase,s__bacteroides_thetaiotaomicron,s__bacteroides_xylanisolvens,0.1,0.1,0.2,0.002,PyCausal_,T,TG
g__rna_helicase,s__bacteroides_thetaiotaomicron,s__haemophilus_parainfluenzae,0.1,0.2,0.1,0.002,PyCausal_,T,TG
g__rna_helicase,s__haemophilus_parainfluenzae,s__bacteroides_thetaiotaomicron,0.2,0.1,0.1,0.002,PyCausal_,T,TG
g__lserine_ammonialyase,s__bacteroides_caccae,s__ruminococcus_torques,0.1,0.1,0.2,0.002,PyCausal_,T,TG
g__aspartate_ammonialyase,s__bacteroides_caccae,s__ruminococcus_torques,0.1,0.1,0.2,0.002,PyCausal_,T,TG
g__lserine_ammonialyase,s__ruminococcus_torques,s__bacteroides_caccae,0.1,0.1,0.2,0.002,PyCausal_,T,TG
g__aspartate_ammonialyase,s__ruminococcus_torques,s__bacteroides_caccae,0.1,0.1,0.2,0.002,PyCausal_,T,TG
g__transaldolase,s__bacteroides_uniformis,s__bacteroides_faecis,0.1,0.1,0.2,0.002,PyCausal_,T,TG
g__transaldolase,s__bacteroides_faecis,s__bacteroides_uniformis,0.1,0.1,0.2,0.002,PyCausal_,T,TG
g__rna_helicase,s__bacteroides_finegoldii,s__bacteroides_thetaiotaomicron,0.1,0.1,0.1,0.001,PyCausal_,T,TG
g__acetylcoa_cacetyltransferase,s__bacteroides_fragilis,s__eubacterium_rectale,0.1,0.1,0.1,0.001,PyCausal_,T,TG
