confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__ruminococcus_bromii,s__bacteroides_caccae,s__odoribacter_splanchnicus,1,1,1,1,DBN_,T,TT
s__clostridium_asparagiforme,s__odoribacter_splanchnicus,s__bacteroides_xylanisolvens,1,1,1,1,DBN_,T,TT
s__bacteroides_massiliensis,s__bacteroides_faecis,s__bacteroides_stercoris,1,1,1,1,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__bacteroides_fragilis,1,1,1,1,DBN_,T,TT
s__ruminococcus_obeum,s__clostridium_bolteae,s__odoribacter_splanchnicus,1,1,0.97,0.97,DBN_,T,TT
s__anaerotruncus_colihominis,s__eubacterium_rectale,s__ruminococcus_torques,0.95,1,1,0.95,DBN_,T,TT
s__streptococcus_thermophilus,s__bifidobacterium_longum,s__roseburia_inulinivorans,0.99,1,0.94,0.9306,DBN_,T,TT
s__bacteroides_eggerthii,s__streptococcus_parasanguinis,s__clostridium_clostridioforme,0.97,1,0.94,0.9118,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,1,0.91,0.91,DBN_,T,TT
s__ruminococcus_obeum,s__odoribacter_splanchnicus,s__bacteroides_xylanisolvens,1,0.89,1,0.89,DBN_,T,TT
s__barnesiella_intestinihominis,s__alistipes_shahii,s__eubacterium_ventriosum,0.89,1,1,0.89,DBN_,T,TT
s__sutterella_wadsworthensis,s__haemophilus_parainfluenzae,s__bacteroides_thetaiotaomicron,0.93,1,0.94,0.8742,DBN_,T,TT
s__ruminococcus_obeum,s__alistipes_shahii,s__odoribacter_splanchnicus,0.87,1,1,0.87,DBN_,T,TT
s__bacteroides_eggerthii,s__odoribacter_splanchnicus,s__bacteroides_xylanisolvens,0.87,1,1,0.87,DBN_,T,TT
s__bacteroides_eggerthii,s__alistipes_shahii,s__odoribacter_splanchnicus,0.99,0.87,1,0.8613,DBN_,T,TT
s__ruminococcus_obeum,s__bacteroides_xylanisolvens,s__ruminococcus_torques,0.89,0.96,1,0.8544,DBN_,T,TT
