confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
s__eubacterium_eligens,s__akkermansia_muciniphila,s__bacteroides_finegoldii,1,1,1,1,DBN_,T,TT
s__veillonella_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,1,1,1,DBN_,T,TT
s__peptostreptococcaceae_noname_unclassified,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,1,1,1,1,DBN_,T,TT
s__dialister_invisus,s__akkermansia_muciniphila,s__ruminococcus_torques,1,1,1,1,DBN_,T,TT
s__sutterella_wadsworthensis,s__haemophilus_parainfluenzae,s__bacteroides_thetaiotaomicron,1,1,1,1,DBN_,T,TT
s__veillonella_dispar,s__haemophilus_parainfluenzae,s__bacteroides_stercoris,1,1,0.97,0.97,DBN_,T,TT
s__dialister_invisus,s__akkermansia_muciniphila,s__bacteroides_ovatus,1,1,0.96,0.96,DBN_,T,TT
s__sutterella_wadsworthensis,s__bacteroides_thetaiotaomicron,s__haemophilus_parainfluenzae,1,1,0.94,0.94,DBN_,T,TT
s__bacteroides_vulgatus,s__alistipes_shahii,s__bacteroides_faecis,1,0.95,0.91,0.8645,DBN_,T,TT
s__parabacteroides_distasonis,s__faecalibacterium_prausnitzii,s__klebsiella_pneumoniae,1,0.99,0.85,0.8415,DBN_,T,TT
s__c2likevirus_unclassified,s__bacteroides_uniformis,s__escherichia_coli,0.99,1,0.84,0.8316,DBN_,T,TT
s__streptococcus_thermophilus,s__bifidobacterium_longum,s__bacteroides_thetaiotaomicron,0.83,0.99,1,0.8217,DBN_,T,TT
s__lachnospiraceae_bacterium_5_1_63faa,s__alistipes_shahii,s__bacteroides_faecis,1,0.85,0.91,0.7735,DBN_,T,TT
s__veillonella_dispar,s__bifidobacterium_longum,s__haemophilus_parainfluenzae,0.75,1,1,0.75,DBN_,T,TT
s__lachnospiraceae_bacterium_1_1_57faa,s__ruminococcus_torques,s__bacteroides_fragilis,0.73,1,1,0.73,DBN_,T,TT
s__veillonella_dispar,s__escherichia_coli,s__haemophilus_parainfluenzae,0.69,1,1,0.69,DBN_,T,TT
s__bacteroides_vulgatus,s__eubacterium_siraeum,s__alistipes_shahii,0.71,1,0.94,0.6674,DBN_,T,TT
s__bacteroides_vulgatus,s__bacteroides_faecis,s__eubacterium_siraeum,0.95,0.71,0.96,0.64752,DBN_,T,TT
s__parabacteroides_distasonis,s__faecalibacterium_prausnitzii,s__bacteroides_finegoldii,1,0.64,1,0.64,DBN_,T,TT
s__parabacteroides_distasonis,s__roseburia_inulinivorans,s__bacteroides_finegoldii,1,0.64,1,0.64,DBN_,T,TT
s__anaerostipes_hadrus,s__bacteroides_caccae,s__eubacterium_siraeum,0.92,0.99,0.66,0.601128,DBN_,T,TT
s__bacteroides_vulgatus,s__bacteroides_faecis,s__eubacterium_ventriosum,0.95,0.62,0.94,0.55366,DBN_,T,TT
s__veillonella_dispar,s__bifidobacterium_longum,s__bacteroides_stercoris,0.75,1,0.73,0.5475,DBN_,T,TT
s__parabacteroides_distasonis,s__akkermansia_muciniphila,s__bacteroides_finegoldii,0.8,0.64,1,0.512,DBN_,T,TT
s__parabacteroides_unclassified,s__odoribacter_splanchnicus,s__clostridium_clostridioforme,1,1,0.46,0.46,DBN_,T,TT
