confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
m__hmdb00043,s__bacteroides_ovatus,s__ruminococcus_torques,0.5,0.5,0.2,0.05,PyCausal_,T,TM
m__hmdb00043,s__ruminococcus_torques,s__bacteroides_ovatus,0.5,0.5,0.2,0.05,PyCausal_,T,TM
m__hmdb00764,s__bacteroides_xylanisolvens,s__akkermansia_muciniphila,0.5,0.5,0.2,0.05,PyCausal_,T,TM
m__hmdb00764,s__akkermansia_muciniphila,s__bacteroides_xylanisolvens,0.5,0.5,0.2,0.05,PyCausal_,T,TM
g__acetylcoa_cacetyltransferase,s__streptococcus_parasanguinis,s__klebsiella_pneumoniae,0.25,0.5,0.4,0.05,PyCausal_,T,TG
g__acetylcoa_cacetyltransferase,s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,0.5,0.25,0.4,0.05,PyCausal_,T,TG
g__glucose1phosphate_adenylyltransferase,s__streptococcus_parasanguinis,s__klebsiella_pneumoniae,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__3hydroxybutyrylcoa_dehydrogenase,s__streptococcus_parasanguinis,s__klebsiella_pneumoniae,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__methionyl_aminopeptidase,s__streptococcus_parasanguinis,s__klebsiella_pneumoniae,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__glucose1phosphate_adenylyltransferase,s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__3hydroxybutyrylcoa_dehydrogenase,s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__methionyl_aminopeptidase,s__klebsiella_pneumoniae,s__streptococcus_parasanguinis,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__methionyl_aminopeptidase,s__bacteroides_uniformis,s__bacteroides_caccae,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__methionyl_aminopeptidase,s__bacteroides_caccae,s__bacteroides_uniformis,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__transaldolase,s__clostridium_bolteae,s__bacteroides_uniformis,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__phosphatidate_cytidylyltransferase,s__clostridium_bolteae,s__bacteroides_uniformis,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__transaldolase,s__bacteroides_uniformis,s__clostridium_bolteae,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__phosphatidate_cytidylyltransferase,s__bacteroides_uniformis,s__clostridium_bolteae,0.25,0.25,0.4,0.025,PyCausal_,T,TG
g__thymidylate_synthase,s__eubacterium_rectale,s__roseburia_intestinalis,0.25,0.25,0.2,0.0125,PyCausal_,T,TG
g__thymidylate_synthase,s__roseburia_intestinalis,s__eubacterium_rectale,0.25,0.25,0.2,0.0125,PyCausal_,T,TG
