confounder,confoundedParent,confoundedChild,BootscoreConfounderP,BootscoreConfounderC,BootscoreConfounded,overalScore,method,sourceLevel,deconfoundedWith
m__hmdb00097,s__bacteroides_xylanisolvens,s__bacteroides_ovatus,0.2,0.4,0.4,0.032,PyCausal_,T,TM
m__hmdb00097,s__bacteroides_ovatus,s__bacteroides_xylanisolvens,0.4,0.2,0.4,0.032,PyCausal_,T,TM
m__hmdb01149,s__escherichia_coli,s__bifidobacterium_longum,0.4,0.4,0.2,0.032,PyCausal_,T,TM
m__hmdb01149,s__bifidobacterium_longum,s__escherichia_coli,0.4,0.4,0.2,0.032,PyCausal_,T,TM
m__hmdb02322,s__bacteroides_ovatus,s__alistipes_shahii,0.6,0.2,0.2,0.024,PyCausal_,T,TM
m__hmdb02322,s__bacteroides_ovatus,s__bacteroides_uniformis,0.6,0.2,0.2,0.024,PyCausal_,T,TM
m__hmdb02322,s__bacteroides_uniformis,s__bacteroides_ovatus,0.2,0.6,0.2,0.024,PyCausal_,T,TM
m__hmdb00097,s__clostridium_clostridioforme,s__bacteroides_stercoris,0.2,0.2,0.6,0.024,PyCausal_,T,TM
m__hmdb00097,s__bacteroides_stercoris,s__clostridium_clostridioforme,0.2,0.2,0.6,0.024,PyCausal_,T,TM
m__hmdb00289,s__bacteroides_ovatus,s__bacteroides_uniformis,0.2,0.4,0.2,0.016,PyCausal_,T,TM
m__hmdb00289,s__bacteroides_uniformis,s__bacteroides_ovatus,0.4,0.2,0.2,0.016,PyCausal_,T,TM
m__hmdb00239,s__bacteroides_ovatus,s__clostridium_bolteae,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00619,s__bacteroides_ovatus,s__clostridium_bolteae,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00289,s__bacteroides_ovatus,s__clostridium_bolteae,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00239,s__clostridium_bolteae,s__bacteroides_ovatus,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00619,s__clostridium_bolteae,s__bacteroides_ovatus,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00289,s__clostridium_bolteae,s__bacteroides_ovatus,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00097,s__bacteroides_stercoris,s__bacteroides_ovatus,0.2,0.4,0.2,0.016,PyCausal_,T,TM
m__hmdb00289,s__bacteroides_uniformis,s__odoribacter_splanchnicus,0.4,0.2,0.2,0.016,PyCausal_,T,TM
m__hmdb00289,s__odoribacter_splanchnicus,s__bacteroides_uniformis,0.2,0.4,0.2,0.016,PyCausal_,T,TM
m__hmdb00619,s__faecalibacterium_prausnitzii,s__bacteroides_fragilis,0.2,0.4,0.2,0.016,PyCausal_,T,TM
m__hmdb00619,s__bacteroides_fragilis,s__faecalibacterium_prausnitzii,0.4,0.2,0.2,0.016,PyCausal_,T,TM
m__hmdb00097,s__bacteroides_fragilis,s__roseburia_inulinivorans,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00097,s__roseburia_inulinivorans,s__bacteroides_fragilis,0.2,0.2,0.4,0.016,PyCausal_,T,TM
m__hmdb00619,s__bacteroides_fragilis,s__eubacterium_rectale,0.4,0.2,0.2,0.016,PyCausal_,T,TM
m__hmdb00619,s__eubacterium_rectale,s__bacteroides_fragilis,0.2,0.4,0.2,0.016,PyCausal_,T,TM
