Method,Alignment,Name,%_T_dw_TG_Deconfounding,%_T_dw_TM_Deconfounding,%_T_dw_TT_Deconfounding,%_GM_dw_TGM_Deconfounding,%_TG_dw_TTG_Deconfounding,%_TM_dw_TTM_Deconfounding,%_TT_dw_TTG_Deconfounding,%_TT_dw_TTM_Deconfounding,GM_dw_TGM,TG_dw_TTG,TM_dw_TTM,TT_dw_TTG,TT_dw_TTM,T_dw_TG,T_dw_TM,T_dw_TT,confoundersOfT_dw_TTM,#EdgesT,#EdgesTT,#EdgesTG,#EdgesTM,#EdgesGM,#EdgesTTG,#EdgesTTM,#EdgesTGM,TotalEdgesAllNetworks,overallScore
DBN_,alignment,DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6.csv,27.6190476190476,28.0952380952381,37.6190476190476,121.234119782214,30.0403225806452,45.945945945946,4.37158469945355,2.9143897996357,668,149,170,24,16,58,59,79,6,210,549,496,370,551,888,786,683,4533,0.664414295168762
DBN_,alignment,DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents5.csv,17.816091954023,11.4942528735632,28.1609195402299,81.9672131147541,18.0693069306931,29.8013245033113,2.68456375838926,2.01342281879195,350,73,90,12,9,31,20,49,4,174,447,404,302,427,705,612,565,3636,0.692134213421342
DBN_,alignment,DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents4.csv,13.5714285714286,5,15,41.7956656346749,10.2990033222591,23.1404958677686,2.05278592375367,0.879765395894428,135,31,56,7,3,19,7,21,5,140,341,301,242,323,551,476,426,2800,0.722982142857143
DBN_,alignment,DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3.csv,5.26315789473684,1.05263157894737,0,17.7777777777778,6.88073394495413,11.5606936416185,0,0,40,15,20,0,0,5,1,0,0,95,0,218,173,225,392,322,300,1725,0.773605797101449
DBN_,noalignment,DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6.csv,29.3532338308458,7.46268656716418,24.8756218905473,110.332749562172,19.6581196581197,0,2.94117647058824,0,630,92,0,15,0,59,15,50,0,201,510,468,359,571,890,0,664,3663,0.691040131040131
DBN_,noalignment,DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5.csv,14.367816091954,1.72413793103448,15.5172413793103,69.2307692307692,13.8743455497382,0,2.49376558603491,0,315,53,0,10,0,25,3,27,0,174,401,382,295,455,719,0,540,2966,0.714312204989885
DBN_,noalignment,DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4.csv,5.83941605839416,0,10.2189781021898,53.5294117647059,13.9455782312925,0,1.96078431372549,0,182,41,0,6,0,8,0,14,0,137,306,294,221,340,550,0,406,2254,0.754569653948536
DBN_,noalignment,DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents3.csv,3.2967032967033,0,0,24,3.91304347826087,0,0,0,54,9,0,0,0,3,0,0,0,91,0,230,164,225,395,0,291,1396,0.778280802292264
Tigramite_,alignment,Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_CMIknn.csv,157.719714964371,130.641330166271,166.745843230404,0,0,0,0,0,0,0,0,0,0,664,550,702,0,421,1757,1026,1041,18,0,0,20,4283,0.20964489631312
Tigramite_,alignment,Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_GPDC.csv,237.876386687797,103.961965134707,333.755942947702,0.37037037037037,0,0,0,0,2,0,0,0,0,1501,656,2106,0,631,3078,1346,757,540,0,0,83,6435,0.217800381436745
