T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__escherichia_coli,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb01257,s__escherichia_coli,1,0.79,0.11,1,0.0869,FALSE,TRUE,TRUE,TRUE
s__odoribacter_splanchnicus,,g__beta-lactamase,m__hmdb00251,s__bacteroides_thetaiotaomicron,0.58,0.61,0.99,0.83,0.29071746,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__rna helicase,m__hmdb00619,s__akkermansia_muciniphila,0.53,1,0.38,1,0.2014,FALSE,TRUE,FALSE,TRUE
s__bacteroides_finegoldii,,g__beta-lactamase,m__hmdb00251,s__bacteroides_thetaiotaomicron,1,0.61,0.99,0.32,0.193248,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__rna helicase,m__hmdb00619,s__clostridium_clostridioforme,0.53,1,0.44,0.32,0.074624,FALSE,TRUE,FALSE,TRUE
s__bacteroides_cellulosilyticus,,g__fructose-bisphosphate aldolase,m__hmdb00239,s__bacteroides_faecis,0.11,0.69,0.97,0.99,0.07288677,FALSE,TRUE,FALSE,TRUE
s__bacteroides_stercoris,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb00239,s__bacteroides_faecis,1,0.41,0.97,0.16,0.063632,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__rna helicase,m__hmdb00619,s__clostridium_clostridioforme,0.53,1,0.44,0.26,0.060632,FALSE,TRUE,FALSE,TRUE
s__bacteroides_finegoldii,,g__beta-lactamase,m__hmdb00251,s__bacteroides_thetaiotaomicron,1,0.61,0.99,0.1,0.06039,FALSE,TRUE,FALSE,TRUE
s__odoribacter_splanchnicus,,g__beta-lactamase,m__hmdb00251,s__bacteroides_thetaiotaomicron,0.58,0.61,0.99,0.16,0.05604192,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__dna helicase,m__hmdb00195,s__bacteroides_ovatus,0.58,0.36,0.28,0.71,0.04150944,FALSE,TRUE,FALSE,TRUE
s__bacteroides_caccae,,g__thymidylate synthase,m__hmdb01257,s__escherichia_coli,0.37,0.43,0.11,0.98,0.01715098,FALSE,TRUE,FALSE,TRUE
s__bacteroides_cellulosilyticus,,g__fructose-bisphosphate aldolase,m__hmdb00239,s__bacteroides_faecis,0.11,0.69,0.97,0.1,0.0073623,FALSE,TRUE,FALSE,TRUE
s__bacteroides_caccae,,g__thymidylate synthase,m__hmdb01257,s__escherichia_coli,0.37,0.43,0.11,0.26,0.00455026,FALSE,TRUE,FALSE,TRUE
s__haemophilus_parainfluenzae,,g__rna helicase,m__hmdb00043,s__roseburia_inulinivorans,1,0.98,1,1,0.98,FALSE,TRUE,FALSE,FALSE
s__escherichia_coli,,g__phosphopyruvate hydratase,m__hmdb00043,s__roseburia_inulinivorans,1,0.8,1,0.96,0.768,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__rna helicase,m__hmdb00043,s__roseburia_inulinivorans,1,0.98,1,0.63,0.6174,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__aspartate ammonia-lyase,m__hmdb00619,s__clostridium_clostridioforme,1,0.99,0.44,0.66,0.287496,FALSE,TRUE,FALSE,FALSE
s__escherichia_coli,,g__acetyl-coa c-acetyltransferase,m__hmdb00619,s__clostridium_clostridioforme,1,0.94,0.44,0.68,0.281248,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephospho-coa kinase,m__hmdb00195,s__bacteroides_faecis,0.99,0.67,0.37,1,0.245421,FALSE,TRUE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,,g__dephospho-coa kinase,m__hmdb01149,s__bacteroides_thetaiotaomicron,1,0.23,0.99,1,0.2277,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__phosphatidate cytidylyltransferase,m__hmdb00251,s__bacteroides_thetaiotaomicron,0.99,0.26,0.99,0.87,0.22169862,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__acetyl-coa c-acetyltransferase,m__hmdb02322,s__faecalibacterium_prausnitzii,0.98,0.37,0.71,0.85,0.2188291,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__acetyl-coa c-acetyltransferase,m__hmdb00195,s__bacteroides_ovatus,0.89,0.76,0.28,1,0.189392,FALSE,TRUE,FALSE,FALSE
s__streptococcus_parasanguinis,,g__fructose-bisphosphate aldolase,m__hmdb00056,s__streptococcus_parasanguinis,1,0.31,0.59,1,0.1829,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__dephospho-coa kinase,m__hmdb00195,s__bacteroides_ovatus,0.99,0.67,0.28,0.71,0.13186404,FALSE,TRUE,FALSE,FALSE
s__bacteroides_caccae,,g__dna helicase,m__hmdb00195,s__bacteroides_faecis,0.85,0.36,0.37,1,0.11322,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__superoxide dismutase,m__hmdb00043,s__alistipes_shahii,0.37,0.24,0.69,0.99,0.06065928,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephospho-coa kinase,m__hmdb00195,s__bacteroides_ovatus,0.99,0.67,0.28,0.29,0.05385996,FALSE,TRUE,FALSE,FALSE
s__bacteroides_finegoldii,,g__dna helicase,m__hmdb00195,s__bacteroides_faecis,0.71,0.36,0.37,0.45,0.0425574,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__superoxide dismutase,m__hmdb00043,s__alistipes_shahii,0.37,0.24,0.69,0.56,0.03431232,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00056,s__streptococcus_parasanguinis,0.27,0.18,0.59,1,0.028674,FALSE,TRUE,FALSE,FALSE
s__bacteroides_xylanisolvens,,g__acetyl-coa c-acetyltransferase,m__hmdb00619,s__akkermansia_muciniphila,0.12,0.94,0.38,0.59,0.02528976,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00056,s__streptococcus_parasanguinis,0.27,0.18,0.59,0.83,0.02379942,FALSE,TRUE,FALSE,FALSE
s__bacteroides_finegoldii,,g__dna helicase,m__hmdb00195,s__bacteroides_faecis,0.71,0.36,0.37,0.25,0.023643,FALSE,TRUE,FALSE,FALSE
