T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__streptococcus_parasanguinis,,g__dna-directed rna polymerase,m__hmdb00296,s__streptococcus_parasanguinis,1,0.94,0.83,1,0.7802,FALSE,TRUE,FALSE,TRUE
s__escherichia_coli,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb02322,s__bacteroides_fragilis,1,0.95,0.98,0.31,0.28861,FALSE,TRUE,FALSE,TRUE
s__bacteroides_finegoldii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00619,s__streptococcus_parasanguinis,0.62,0.66,0.98,0.49,0.19649784,FALSE,TRUE,FALSE,TRUE
s__escherichia_coli,,g__aspartate ammonia-lyase,m__hmdb00619,s__streptococcus_parasanguinis,0.69,0.6,0.98,0.36,0.1460592,FALSE,TRUE,FALSE,TRUE
s__bacteroides_xylanisolvens,,g__phosphoglycerate kinase,m__hmdb00043,s__akkermansia_muciniphila,1,0.97,1,0.11,0.1067,FALSE,TRUE,FALSE,TRUE
s__bacteroides_finegoldii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00619,s__streptococcus_parasanguinis,0.62,0.66,0.98,0.1,0.0401016,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__transaldolase,m__hmdb00014,s__alistipes_shahii,0.53,0.21,0.39,0.14,0.00607698,FALSE,TRUE,FALSE,TRUE
s__bacteroides_fragilis,,g__transaldolase,m__hmdb02322,s__bacteroides_fragilis,0.45,0.91,0.98,1,0.40131,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00619,s__streptococcus_parasanguinis,0.5,0.66,0.98,0.73,0.236082,FALSE,TRUE,FALSE,FALSE
s__escherichia_coli,,g__aspartate ammonia-lyase,m__hmdb00251,s__eubacterium_ventriosum,0.69,0.84,0.26,1,0.150696,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00251,s__eubacterium_ventriosum,1,0.48,0.26,1,0.1248,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__aldose 1-epimerase,m__hmdb00014,s__alistipes_shahii,0.83,0.26,0.39,1,0.084162,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephospho-coa kinase,m__hmdb00014,s__alistipes_shahii,0.3,0.83,0.39,0.84,0.0815724,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__thymidylate synthase,m__hmdb00619,s__streptococcus_parasanguinis,0.49,0.35,0.98,0.18,0.0302526,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__dephospho-coa kinase,m__hmdb00014,s__alistipes_shahii,0.3,0.83,0.39,0.28,0.0271908,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__aldose 1-epimerase,m__hmdb00014,s__alistipes_shahii,0.18,0.26,0.39,0.66,0.01204632,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__rna helicase,,s__bifidobacterium_longum,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__glucose-1-phosphate adenylyltransferase,,s__roseburia_intestinalis,1,,1,1,1,FALSE,FALSE,TRUE,FALSE
s__alistipes_shahii,,g__methionyl aminopeptidase,,s__alistipes_shahii,1,,0.98,1,0.98,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__rna helicase,,s__bacteroides_finegoldii,0.99,,0.92,1,0.9108,FALSE,FALSE,TRUE,FALSE
s__clostridium_bolteae,,g__superoxide dismutase,,s__akkermansia_muciniphila,1,,0.57,0.74,0.4218,FALSE,FALSE,TRUE,FALSE
s__bifidobacterium_longum,,g__rna helicase,,s__bifidobacterium_longum,0.36,,1,1,0.36,FALSE,FALSE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__3-hydroxybutyryl-coa dehydrogenase,,s__faecalibacterium_prausnitzii,1,,0.36,1,0.36,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__rna helicase,,s__haemophilus_parainfluenzae,1,,0.34,1,0.34,FALSE,FALSE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__rna helicase,,s__bacteroides_cellulosilyticus,0.89,,0.33,1,0.2937,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__rna helicase,,s__streptococcus_parasanguinis,0.99,,0.39,0.49,0.189189,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,,s__streptococcus_parasanguinis,1,,0.16,1,0.16,FALSE,FALSE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__transaldolase,,s__clostridium_clostridioforme,0.95,,0.1,0.92,0.0874,FALSE,FALSE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__transaldolase,,s__clostridium_clostridioforme,0.95,,0.1,0.74,0.0703,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__rna helicase,,s__streptococcus_parasanguinis,0.99,,0.39,0.1,0.03861,FALSE,FALSE,TRUE,FALSE
