T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__bacteroides_uniformis,,g__superoxide_dismutase,m__hmdb00030,s__bacteroides_faecis,0.8,0.4,0.1,0.2,0.0064,FALSE,TRUE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__dephosphocoa_kinase,m__hmdb00630,s__haemophilus_parainfluenzae,0.1,0.6,0.1,0.6,0.0036,FALSE,TRUE,TRUE,FALSE
s__bacteroides_uniformis,,g__superoxide_dismutase,m__hmdb00030,s__bacteroides_faecis,0.8,0.4,0.1,0.1,0.0032,FALSE,TRUE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__glucose1phosphate_adenylyltransferase,m__hmdb00195,s__faecalibacterium_prausnitzii,0.7,0.1,0.1,0.2,0.0014,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__glutamate_dehydrogenase,m__hmdb00764,s__alistipes_shahii,0.3,0.1,0.4,0.1,0.0012,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__glucose1phosphate_adenylyltransferase,m__hmdb00195,s__faecalibacterium_prausnitzii,0.1,0.1,0.1,0.1,0.0001,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__glutamate_decarboxylase,,s__bacteroides_faecis,0.2,,0.2,1,0.04,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__aldose_1epimerase,,s__roseburia_inulinivorans,0.2,,0.2,0.9,0.036,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__shikimate_kinase,,s__bacteroides_stercoris,0.2,,0.2,0.6,0.024,FALSE,FALSE,TRUE,FALSE
s__bacteroides_finegoldii,,g__rna_helicase,,s__bacteroides_finegoldii,0.1,,0.2,0.9,0.018,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_intestinalis,0.6,,0.1,0.3,0.018,FALSE,FALSE,TRUE,FALSE
s__escherichia_coli,,g__aspartate_ammonialyase,,s__escherichia_coli,0.1,,0.3,0.4,0.012,FALSE,FALSE,TRUE,FALSE
s__bacteroides_fragilis,,g__glucose1phosphate_adenylyltransferase,,s__bacteroides_fragilis,0.1,,0.1,0.9,0.009,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__phosphopyruvate_hydratase,,s__akkermansia_muciniphila,0.1,,0.1,0.8,0.008,FALSE,FALSE,TRUE,FALSE
s__bacteroides_cellulosilyticus,,g__thymidylate_synthase,,s__bacteroides_cellulosilyticus,0.1,,0.1,0.8,0.008,FALSE,FALSE,TRUE,FALSE
s__roseburia_intestinalis,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_inulinivorans,0.1,,0.2,0.3,0.006,FALSE,FALSE,TRUE,FALSE
s__bacteroides_caccae,,g__fructosebisphosphate_aldolase,,s__bacteroides_caccae,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__bacteroides_uniformis,,g__5formyltetrahydrofolate_cycloligase,,s__bacteroides_uniformis,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__haemophilus_parainfluenzae,,g__acetylcoa_cacetyltransferase,,s__haemophilus_parainfluenzae,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,,s__klebsiella_pneumoniae,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__lserine_ammonialyase,,s__streptococcus_parasanguinis,0.1,,0.1,0.6,0.006,FALSE,FALSE,TRUE,FALSE
s__roseburia_inulinivorans,,g__dihydrolipoyl_dehydrogenase,,s__roseburia_intestinalis,0.6,,0.1,0.1,0.006,FALSE,FALSE,TRUE,FALSE
s__bacteroides_ovatus,,g__shikimate_kinase,,s__bacteroides_ovatus,0.1,,0.1,0.5,0.005,FALSE,FALSE,TRUE,FALSE
s__bacteroides_xylanisolvens,,g__betalactamase,,s__bacteroides_xylanisolvens,0.1,,0.1,0.5,0.005,FALSE,FALSE,TRUE,FALSE
s__eubacterium_rectale,,g__5formyltetrahydrofolate_cycloligase,,s__faecalibacterium_prausnitzii,0.2,,0.2,0.1,0.004,FALSE,FALSE,TRUE,FALSE
s__bacteroides_uniformis,,g__superoxide_dismutase,,s__bacteroides_faecis,0.2,,0.1,0.2,0.004,FALSE,FALSE,TRUE,FALSE
s__bacteroides_faecis,,g__superoxide_dismutase,,s__bacteroides_uniformis,0.1,,0.2,0.2,0.004,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,,s__streptococcus_parasanguinis,0.1,,0.1,0.4,0.004,FALSE,FALSE,TRUE,FALSE
s__eubacterium_siraeum,,g__aspartate_ammonialyase,,s__eubacterium_siraeum,0.1,,0.1,0.4,0.004,FALSE,FALSE,TRUE,FALSE
s__eubacterium_siraeum,,g__5formyltetrahydrofolate_cycloligase,,s__eubacterium_rectale,0.1,,0.2,0.2,0.004,FALSE,FALSE,TRUE,FALSE
