T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__akkermansia_muciniphila,,g__glutamate decarboxylase,m__hmdb00764,s__akkermansia_muciniphila,0.77,1,1,1,0.77,FALSE,TRUE,TRUE,TRUE
s__clostridium_clostridioforme,,g__aldose 1-epimerase,m__hmdb00030,s__clostridium_clostridioforme,1,0.33,1,1,0.33,FALSE,TRUE,TRUE,TRUE
s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.29,1,0.29,FALSE,TRUE,TRUE,TRUE
s__clostridium_bolteae,,g__glutamate decarboxylase,m__hmdb00764,s__akkermansia_muciniphila,0.53,1,1,0.98,0.5194,FALSE,TRUE,TRUE,FALSE
s__bacteroides_stercoris,,g__methionyl aminopeptidase,m__hmdb00097,s__bacteroides_faecis,1,0.67,0.15,0.57,0.057285,FALSE,TRUE,TRUE,FALSE
s__bacteroides_ovatus,,g__acetyl-coa c-acetyltransferase,m__hmdb00239,s__bacteroides_ovatus,1,1,1,1,1,FALSE,TRUE,FALSE,TRUE
s__roseburia_intestinalis,,g__acetyl-coa c-acetyltransferase,m__hmdb00239,s__bacteroides_ovatus,0.72,1,1,1,0.72,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__glutamate decarboxylase,m__hmdb00764,s__ruminococcus_torques,0.77,1,0.87,1,0.6699,FALSE,TRUE,FALSE,TRUE
s__eubacterium_ventriosum,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__eubacterium_ventriosum,0.86,0.45,1,1,0.387,FALSE,TRUE,FALSE,TRUE
s__bacteroides_fragilis,,g__peroxiredoxin,m__hmdb02322,s__akkermansia_muciniphila,1,0.36,0.99,0.98,0.349272,FALSE,TRUE,FALSE,TRUE
s__eubacterium_rectale,,g__peroxiredoxin,m__hmdb02322,s__akkermansia_muciniphila,0.98,0.36,0.99,0.98,0.34228656,FALSE,TRUE,FALSE,TRUE
s__bacteroides_uniformis,,g__dna-directed rna polymerase,m__hmdb00097,s__eubacterium_siraeum,0.66,0.85,0.58,0.98,0.3188724,FALSE,TRUE,FALSE,TRUE
s__klebsiella_pneumoniae,,g__aspartate ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.29,1,0.29,FALSE,TRUE,FALSE,TRUE
s__haemophilus_parainfluenzae,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00289,s__bacteroides_uniformis,0.83,0.46,1,0.67,0.255806,FALSE,TRUE,FALSE,TRUE
s__bacteroides_fragilis,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__bacteroides_fragilis,0.91,1,0.17,1,0.1547,FALSE,TRUE,FALSE,TRUE
s__bacteroides_faecis,,g__thymidylate synthase,m__hmdb00097,s__eubacterium_siraeum,0.99,0.15,0.58,0.92,0.0792396,FALSE,TRUE,FALSE,TRUE
s__bacteroides_thetaiotaomicron,,g__aldose 1-epimerase,m__hmdb00209,s__roseburia_intestinalis,0.23,0.31,0.93,0.93,0.06166737,FALSE,TRUE,FALSE,TRUE
s__eubacterium_rectale,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__roseburia_intestinalis,1,1,0.12,0.19,0.0228,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__acetyl-coa c-acetyltransferase,m__hmdb00239,s__streptococcus_parasanguinis,1,1,1,0.93,0.93,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__phosphopyruvate hydratase,m__hmdb00043,s__eubacterium_ventriosum,1,0.93,1,1,0.93,FALSE,TRUE,FALSE,FALSE
s__klebsiella_pneumoniae,,g__transaldolase,m__hmdb00239,s__streptococcus_parasanguinis,1,0.52,1,1,0.52,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__glutamate decarboxylase,m__hmdb00764,s__ruminococcus_torques,0.53,1,0.87,1,0.4611,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_stercoris,0.98,0.45,1,1,0.441,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__eubacterium_ventriosum,0.98,0.45,1,1,0.441,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__aldose 1-epimerase,m__hmdb00209,s__roseburia_intestinalis,1,0.31,0.93,1,0.2883,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__dna-directed rna polymerase,m__hmdb00209,s__alistipes_shahii,0.66,0.69,0.62,1,0.282348,FALSE,TRUE,FALSE,FALSE
s__bacteroides_caccae,,g__phosphoglycerate kinase,m__hmdb00764,s__ruminococcus_torques,0.32,1,0.87,1,0.2784,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__phosphoglycerate kinase,m__hmdb00764,s__ruminococcus_torques,0.2,1,0.87,1,0.174,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__methionyl aminopeptidase,m__hmdb00239,s__streptococcus_parasanguinis,1,0.27,1,0.55,0.1485,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__dna-directed rna polymerase,m__hmdb00097,s__bacteroides_fragilis,1,0.85,0.17,1,0.1445,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__methionyl aminopeptidase,m__hmdb00239,s__bacteroides_ovatus,1,0.27,1,0.35,0.0945,FALSE,TRUE,FALSE,FALSE
s__roseburia_intestinalis,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__roseburia_intestinalis,0.72,1,0.12,1,0.0864,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__bacteroides_stercoris,1,0.45,1,0.19,0.0855,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__dna-directed rna polymerase,m__hmdb00097,s__bacteroides_faecis,0.66,0.85,0.15,1,0.08415,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__aspartate ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,0.31,1,0.29,0.9,0.08091,FALSE,TRUE,FALSE,FALSE
s__haemophilus_parainfluenzae,,g__beta-lactamase,m__hmdb00043,s__bacteroides_stercoris,0.86,0.1,1,0.94,0.08084,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__dna-directed rna polymerase,m__hmdb00097,s__eubacterium_siraeum,1,0.85,0.58,0.13,0.06409,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__histidine kinase,m__hmdb00043,s__eubacterium_ventriosum,0.19,0.32,1,1,0.0608,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__dna-directed rna polymerase,m__hmdb00251,s__ruminococcus_torques,1,0.85,0.31,0.23,0.060605,FALSE,TRUE,FALSE,FALSE
s__bacteroides_caccae,,g__phosphoglycerate kinase,m__hmdb00764,s__eubacterium_siraeum,0.32,1,0.99,0.18,0.057024,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb01257,s__bacteroides_uniformis,0.26,0.97,0.26,0.81,0.05311332,FALSE,TRUE,FALSE,FALSE
s__bacteroides_thetaiotaomicron,,g__dna-directed rna polymerase,m__hmdb00097,s__eubacterium_siraeum,0.1,0.85,0.58,1,0.0493,FALSE,TRUE,FALSE,FALSE
s__bacteroides_fragilis,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__bacteroides_faecis,0.91,1,0.15,0.34,0.04641,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__histidine kinase,m__hmdb00043,s__bacteroides_stercoris,1,0.32,1,0.13,0.0416,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__aspartate ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,0.17,1,0.29,0.7,0.03451,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__acetyl-coa c-acetyltransferase,m__hmdb00251,s__ruminococcus_torques,1,0.83,0.31,0.12,0.030876,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__glucose-1-phosphate adenylyltransferase,m__hmdb00097,s__bacteroides_fragilis,0.17,1,0.17,1,0.0289,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__fructose-bisphosphate aldolase,m__hmdb00097,s__bacteroides_fragilis,1,0.15,0.17,1,0.0255,FALSE,TRUE,FALSE,FALSE
s__roseburia_inulinivorans,,g__transaldolase,m__hmdb02322,s__bacteroides_finegoldii,0.98,0.26,0.1,1,0.02548,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__thymidylate synthase,m__hmdb00097,s__bacteroides_faecis,0.99,0.15,0.15,1,0.022275,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__triose-phosphate isomerase,m__hmdb00619,s__clostridium_bolteae,0.13,0.8,0.21,1,0.02184,FALSE,TRUE,FALSE,FALSE
s__bacteroides_uniformis,,g__triose-phosphate isomerase,m__hmdb01257,s__bacteroides_uniformis,0.7,0.12,0.26,1,0.02184,FALSE,TRUE,FALSE,FALSE
s__bacteroides_faecis,,g__aldose 1-epimerase,m__hmdb00209,s__alistipes_shahii,0.11,0.31,0.62,1,0.021142,FALSE,TRUE,FALSE,FALSE
s__escherichia_coli,,g__fructose-bisphosphate aldolase,m__hmdb00097,s__bacteroides_cellulosilyticus,1,0.15,0.38,0.32,0.01824,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__methionyl aminopeptidase,m__hmdb00239,s__streptococcus_parasanguinis,0.2,0.27,1,0.32,0.01728,FALSE,TRUE,FALSE,FALSE
s__odoribacter_splanchnicus,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb00020,s__roseburia_intestinalis,0.81,0.16,0.12,0.99,0.01539648,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00097,s__bacteroides_fragilis,0.76,0.11,0.17,0.99,0.01406988,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00097,s__bacteroides_faecis,1,0.11,0.15,0.77,0.012705,FALSE,TRUE,FALSE,FALSE
s__faecalibacterium_prausnitzii,,g__peptidylprolyl isomerase,m__hmdb02322,s__bacteroides_finegoldii,0.47,0.24,0.1,1,0.01128,FALSE,TRUE,FALSE,FALSE
s__ruminococcus_torques,,g__peptidylprolyl isomerase,m__hmdb00619,s__clostridium_bolteae,0.34,0.11,0.21,1,0.007854,FALSE,TRUE,FALSE,FALSE
s__bacteroides_ovatus,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00097,s__bacteroides_cellulosilyticus,0.89,0.11,0.38,0.16,0.00595232,FALSE,TRUE,FALSE,FALSE
s__alistipes_shahii,,g__peptidylprolyl isomerase,m__hmdb00619,s__clostridium_bolteae,0.19,0.11,0.21,1,0.004389,FALSE,TRUE,FALSE,FALSE
