T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__streptococcus_parasanguinis,,g__transaldolase,m__hmdb00014,s__klebsiella_pneumoniae,0.6,0.2,0.2,0.8,0.0192,FALSE,TRUE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__transaldolase,m__hmdb00014,s__klebsiella_pneumoniae,0.6,0.2,0.2,0.4,0.0096,FALSE,TRUE,TRUE,FALSE
s__clostridium_clostridioforme,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00030,s__clostridium_clostridioforme,1,0.6,1,1,0.6,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__glutamate_dehydrogenase,m__hmdb00239,s__bacteroides_ovatus,0.6,0.2,0.8,0.8,0.0768,FALSE,TRUE,FALSE,FALSE
s__eubacterium_ventriosum,,g__histidine_kinase,m__hmdb00030,s__eubacterium_ventriosum,0.2,1,0.2,0.8,0.032,FALSE,TRUE,FALSE,FALSE
s__akkermansia_muciniphila,,g__aldose_1epimerase,m__hmdb00619,s__akkermansia_muciniphila,0.4,0.2,0.2,1,0.016,FALSE,TRUE,FALSE,FALSE
s__bifidobacterium_longum,,g__ribulosephosphate_3epimerase,m__hmdb01149,s__bifidobacterium_longum,0.2,0.2,0.6,0.6,0.0144,FALSE,TRUE,FALSE,FALSE
s__bacteroides_stercoris,,g__glutamate_dehydrogenase,m__hmdb00020,s__bacteroides_stercoris,0.4,0.2,0.4,0.4,0.0128,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__transaldolase,m__hmdb00056,s__bacteroides_caccae,0.2,0.4,0.4,0.4,0.0128,FALSE,TRUE,FALSE,FALSE
s__bacteroides_caccae,,g__5formyltetrahydrofolate_cycloligase,m__hmdb00056,s__bacteroides_caccae,0.2,0.2,0.4,0.6,0.0096,FALSE,TRUE,FALSE,FALSE
s__clostridium_bolteae,,g__transaldolase,m__hmdb00089,s__bacteroides_stercoris,0.2,1,0.2,0.2,0.008,FALSE,TRUE,FALSE,FALSE
s__bacteroides_finegoldii,,g__rna_helicase,m__hmdb00289,s__bacteroides_finegoldii,1,0.2,0.2,0.2,0.008,FALSE,TRUE,FALSE,FALSE
s__eubacterium_rectale,,g__acetylcoa_cacetyltransferase,m__hmdb00619,s__akkermansia_muciniphila,0.2,0.6,0.2,0.2,0.0048,FALSE,TRUE,FALSE,FALSE
s__bacteroides_cellulosilyticus,,g__glutamate_dehydrogenase,m__hmdb01149,s__eubacterium_siraeum,0.6,0.2,0.2,0.2,0.0048,FALSE,TRUE,FALSE,FALSE
s__akkermansia_muciniphila,,g__2cmethylderythritol_4phosphate_cytidylyltransferase,m__hmdb00251,s__bacteroides_xylanisolvens,0.6,0.2,0.2,0.2,0.0048,FALSE,TRUE,FALSE,FALSE
s__clostridium_clostridioforme,,g__aldose_1epimerase,,s__clostridium_clostridioforme,0.8,,0.8,1,0.64,FALSE,FALSE,TRUE,FALSE
s__klebsiella_pneumoniae,,g__glutamate_decarboxylase,,s__streptococcus_parasanguinis,0.2,,0.4,0.8,0.064,FALSE,FALSE,TRUE,FALSE
s__bacteroides_stercoris,,g__5formyltetrahydrofolate_cycloligase,,s__bacteroides_stercoris,0.4,,0.4,0.4,0.064,FALSE,FALSE,TRUE,FALSE
s__akkermansia_muciniphila,,g__3methyl2oxobutanoate_hydroxymethyltransferase,,s__akkermansia_muciniphila,0.2,,0.2,1,0.04,FALSE,FALSE,TRUE,FALSE
s__eubacterium_ventriosum,,g__thymidylate_synthase,,s__eubacterium_ventriosum,0.2,,0.2,0.8,0.032,FALSE,FALSE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__fructosebisphosphate_aldolase,,s__klebsiella_pneumoniae,0.2,,0.2,0.8,0.032,FALSE,FALSE,TRUE,FALSE
