T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi
s__klebsiella_pneumoniae,,g__lserine_ammonialyase,m__hmdb00014,s__klebsiella_pneumoniae,0.6,0.4,0.2,0.8,0.0384,FALSE,TRUE,TRUE,TRUE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,m__hmdb00014,s__klebsiella_pneumoniae,0.4,0.4,0.2,0.8,0.0256,FALSE,TRUE,TRUE,FALSE
s__bacteroides_fragilis,,g__glucose1phosphate_adenylyltransferase,m__hmdb00296,s__roseburia_intestinalis,1,0.2,0.2,0.4,0.016,FALSE,TRUE,TRUE,FALSE
s__streptococcus_parasanguinis,,g__lserine_ammonialyase,m__hmdb00014,s__klebsiella_pneumoniae,0.4,0.4,0.2,0.2,0.0064,FALSE,TRUE,TRUE,FALSE
s__alistipes_shahii,,g__transaldolase,m__hmdb00056,s__faecalibacterium_prausnitzii,0.2,0.8,0.2,0.2,0.0064,FALSE,TRUE,TRUE,FALSE
s__faecalibacterium_prausnitzii,,g__3hydroxybutyrylcoa_dehydrogenase,m__hmdb00030,s__alistipes_shahii,0.2,0.2,0.2,0.2,0.0016,FALSE,TRUE,TRUE,FALSE
s__eubacterium_rectale,,g__acetylcoa_cacetyltransferase,m__hmdb00056,s__eubacterium_rectale,0.2,0.2,0.2,0.2,0.0016,FALSE,TRUE,TRUE,FALSE
s__clostridium_clostridioforme,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00020,s__clostridium_clostridioforme,1,0.6,0.4,1,0.24,FALSE,TRUE,FALSE,TRUE
s__akkermansia_muciniphila,,g__rna_helicase,m__hmdb00251,s__bacteroides_xylanisolvens,0.6,0.8,0.6,0.4,0.1152,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__dnadirected_rna_polymerase,m__hmdb00239,s__bacteroides_ovatus,0.4,0.2,0.8,0.8,0.0512,FALSE,TRUE,FALSE,TRUE
s__roseburia_intestinalis,,g__aldose_1epimerase,m__hmdb00239,s__roseburia_intestinalis,0.2,0.4,0.6,0.8,0.0384,FALSE,TRUE,FALSE,TRUE
s__bacteroides_finegoldii,,g__triosephosphate_isomerase,m__hmdb00619,s__bacteroides_finegoldii,0.6,0.4,0.6,0.2,0.0288,FALSE,TRUE,FALSE,TRUE
s__bacteroides_caccae,,g__transaldolase,m__hmdb00289,s__bacteroides_caccae,0.2,1,0.2,0.6,0.024,FALSE,TRUE,FALSE,TRUE
s__bacteroides_ovatus,,g__dnadirected_rna_polymerase,m__hmdb00289,s__bacteroides_uniformis,0.4,0.2,1,0.2,0.016,FALSE,TRUE,FALSE,TRUE
s__clostridium_bolteae,,g__dnadirected_rna_polymerase,m__hmdb00239,s__bacteroides_ovatus,0.2,0.2,0.8,0.4,0.0128,FALSE,TRUE,FALSE,TRUE
s__faecalibacterium_prausnitzii,,g__dnadirected_rna_polymerase,m__hmdb00239,s__roseburia_intestinalis,0.4,0.2,0.6,0.2,0.0096,FALSE,TRUE,FALSE,TRUE
