NetworkName,T,Tx,G,M,Ti,T->(G|Tx)_Bs,(T|G)->M_Bs,(M|G|Tx)->Ti_Bs,T->Ti_Bs,overallScore,ChainInTTxTi,ChainInTGMTi,ChainInTGTi,ChainInTMTi,NetworksThisUnrollingWasFoundIn
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__akkermansia_muciniphila,,g__glutamate decarboxylase,m__hmdb00764,s__akkermansia_muciniphila,1,1,1,1,1,FALSE,TRUE,TRUE,TRUE,7
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents3,s__clostridium_clostridioforme,,g__uridine kinase,m__hmdb00030,s__clostridium_clostridioforme,1,0.95,1,1,0.95,FALSE,TRUE,TRUE,TRUE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__akkermansia_muciniphila,,g__glutamate decarboxylase,m__hmdb00764,s__akkermansia_muciniphila,0.77,1,1,1,0.77,FALSE,TRUE,TRUE,TRUE,7
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4,s__akkermansia_muciniphila,,g__glutamate decarboxylase,m__hmdb00764,s__akkermansia_muciniphila,0.78,0.93,1,1,0.7254,FALSE,TRUE,TRUE,TRUE,7
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.67,1,0.67,FALSE,TRUE,TRUE,TRUE,5
PyCausal_filtered_ibd_t_g_m_alignment_sr7d_a0.0001_nboots5_testPositiveCorr,s__bacteroides_ovatus,,g__dna_helicase,m__hmdb00239,s__bacteroides_ovatus,1,1,0.6,1,0.6,FALSE,TRUE,TRUE,TRUE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__clostridium_clostridioforme,,g__aldose 1-epimerase,m__hmdb00030,s__clostridium_clostridioforme,1,0.43,1,1,0.43,FALSE,TRUE,TRUE,TRUE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__clostridium_clostridioforme,,g__aldose 1-epimerase,m__hmdb00030,s__clostridium_clostridioforme,1,0.33,1,1,0.33,FALSE,TRUE,TRUE,TRUE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents5,s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.29,1,0.29,FALSE,TRUE,TRUE,TRUE,5
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__ruminococcus_torques,,g__glutamate dehydrogenase,m__hmdb00097,s__bacteroides_faecis,1,0.34,0.99,0.8,0.26928,FALSE,TRUE,TRUE,TRUE,12
PyCausal_filtered_ibd_t_g_m_noalignment_sr7d_a0.0001_nboots5_testPositiveCorr,s__bacteroides_ovatus,,g__dna_helicase,m__hmdb00239,s__bacteroides_ovatus,1,0.4,0.6,1,0.24,FALSE,TRUE,TRUE,TRUE,2
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4,s__streptococcus_parasanguinis,,g__l-serine ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.24,1,0.24,FALSE,TRUE,TRUE,TRUE,5
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents4,s__klebsiella_pneumoniae,,g__l-serine ammonia-lyase,m__hmdb00014,s__klebsiella_pneumoniae,1,1,0.24,1,0.24,FALSE,TRUE,TRUE,TRUE,1
DBN_filtered_ibd_t_g_m_noalignment_sr7d_nboots100_nParents6,s__eubacterium_ventriosum,,g__dephospho-coa kinase,m__hmdb00043,s__eubacterium_ventriosum,0.56,0.4,1,1,0.224,FALSE,TRUE,TRUE,TRUE,1
PyCausal_filtered_ibd_t_g_m_noalignment_sr7d_a0.001_nboots5_testPositiveCorr,s__clostridium_clostridioforme,,g__3methyl2oxobutanoate_hydroxymethyltransferase,m__hmdb00020,s__clostridium_clostridioforme,0.8,0.2,0.4,1,0.064,FALSE,TRUE,TRUE,TRUE,2
DBN_filtered_ibd_t_g_m_alignment_sr7d_nboots100_nParents6,s__bacteroides_finegoldii,,g__phosphatidate cytidylyltransferase,m__hmdb00043,s__eubacterium_ventriosum,0.24,0.38,1,0.7,0.06384,FALSE,TRUE,TRUE,TRUE,2
PyCausal_filtered_ibd_t_g_m_noalignment_sr7d_a0.01_nboots5_testPositiveCorr,s__klebsiella_pneumoniae,,g__lserine_ammonialyase,m__hmdb00014,s__klebsiella_pneumoniae,0.6,0.4,0.2,0.8,0.0384,FALSE,TRUE,TRUE,TRUE,1
PyCausal_filtered_ibd_t_g_m_noalignment_sr7d_a0.0001_nboots5_testPositiveCorr,s__bacteroides_finegoldii,,g__triosephosphate_isomerase,m__hmdb00619,s__bacteroides_finegoldii,0.2,0.6,0.4,0.8,0.0384,FALSE,TRUE,TRUE,TRUE,2
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_thetaiotaomicron,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00056,s__bacteroides_thetaiotaomicron,0.454545454545455,0.363636363636364,0.181818181818182,0.727272727272727,0.0218564305716823,FALSE,TRUE,TRUE,TRUE,6
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__alistipes_shahii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00014,s__roseburia_inulinivorans,0.363636363636364,0.363636363636364,0.363636363636364,0.454545454545455,0.0218564305716823,FALSE,TRUE,TRUE,TRUE,14
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__streptococcus_parasanguinis,,g__superoxide dismutase,m__hmdb00764,s__streptococcus_parasanguinis,0.272727272727273,0.363636363636364,0.363636363636364,0.545454545454545,0.0196707875145141,FALSE,TRUE,TRUE,TRUE,7
PyCausal_filtered_ibd_t_g_m_alignment_sr7d_a0.0001_nboots5_testPositiveCorr,s__bacteroides_finegoldii,,g__triosephosphate_isomerase,m__hmdb00020,s__bacteroides_finegoldii,0.2,0.4,0.4,0.6,0.0192,FALSE,TRUE,TRUE,TRUE,1
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__alistipes_shahii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00020,s__faecalibacterium_prausnitzii,0.363636363636364,0.363636363636364,0.272727272727273,0.454545454545455,0.0163923229287618,FALSE,TRUE,TRUE,TRUE,20
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bifidobacterium_longum,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00014,s__roseburia_inulinivorans,0.272727272727273,0.363636363636364,0.363636363636364,0.454545454545455,0.0163923229287618,FALSE,TRUE,TRUE,TRUE,15
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_thetaiotaomicron,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__eubacterium_ventriosum,0.454545454545455,0.363636363636364,0.272727272727273,0.363636363636364,0.0163923229287618,FALSE,TRUE,TRUE,TRUE,15
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__roseburia_inulinivorans,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00014,s__roseburia_inulinivorans,0.181818181818182,0.363636363636364,0.363636363636364,0.636363636363636,0.0152995014001776,FALSE,TRUE,TRUE,TRUE,16
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__escherichia_coli,,g__3-methyl-2-oxobutanoate hydroxymethyltransferase,m__hmdb00030,s__escherichia_coli,0.181818181818182,0.363636363636364,0.272727272727273,0.818181818181818,0.0147530906358856,FALSE,TRUE,TRUE,TRUE,9
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__roseburia_intestinalis,,g__acetyl-coa c-acetyltransferase,m__hmdb00020,s__roseburia_intestinalis,0.272727272727273,0.363636363636364,0.181818181818182,0.818181818181818,0.0147530906358856,FALSE,TRUE,TRUE,TRUE,17
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_xylanisolvens,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00764,s__bacteroides_xylanisolvens,0.272727272727273,0.272727272727273,0.272727272727273,0.727272727272727,0.0147530906358856,FALSE,TRUE,TRUE,TRUE,3
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__alistipes_shahii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00030,s__alistipes_shahii,0.363636363636364,0.272727272727273,0.272727272727273,0.545454545454545,0.0147530906358856,FALSE,TRUE,TRUE,TRUE,6
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__ruminococcus_torques,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00014,s__roseburia_inulinivorans,0.272727272727273,0.363636363636364,0.363636363636364,0.363636363636364,0.0131138583430094,FALSE,TRUE,TRUE,TRUE,13
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_xylanisolvens,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__bifidobacterium_longum,0.272727272727273,0.363636363636364,0.363636363636364,0.363636363636364,0.0131138583430094,FALSE,TRUE,TRUE,TRUE,19
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__alistipes_shahii,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00014,s__roseburia_inulinivorans,0.363636363636364,0.363636363636364,0.363636363636364,0.272727272727273,0.0131138583430094,FALSE,TRUE,TRUE,TRUE,14
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__clostridium_bolteae,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__haemophilus_parainfluenzae,0.272727272727273,0.363636363636364,0.272727272727273,0.454545454545455,0.0122942421965713,FALSE,TRUE,TRUE,TRUE,23
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_xylanisolvens,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00014,s__bacteroides_xylanisolvens,0.181818181818182,0.363636363636364,0.272727272727273,0.636363636363636,0.0114746260501332,FALSE,TRUE,TRUE,TRUE,16
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__eubacterium_siraeum,,g__3-hydroxybutyryl-coa dehydrogenase,m__hmdb00030,s__eubacterium_siraeum,0.181818181818182,0.363636363636364,0.272727272727273,0.636363636363636,0.0114746260501332,FALSE,TRUE,TRUE,TRUE,4
Tigramite_filtered_ibd_t_g_m_alignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bacteroides_uniformis,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00289,s__bacteroides_stercoris,0.181818181818182,0.363636363636364,0.272727272727273,0.636363636363636,0.0114746260501332,FALSE,TRUE,TRUE,TRUE,13
Tigramite_filtered_ibd_t_g_m_noalignment_sr7d_bs0.1_a0.0001_ptreshold0.05_T1_test_ParCorr,s__bifidobacterium_longum,,g__2-c-methyl-d-erythritol 4-phosphate cytidylyltransferase,m__hmdb00030,s__bifidobacterium_longum,0.272727272727273,0.272727272727273,0.181818181818182,0.818181818181818,0.0110648179769142,FALSE,TRUE,TRUE,TRUE,9
